,Leaf number,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,Unnamed: 5,Unnamed: 6,A664,Unnamed: 8,Unnamed: 9,Average,Unnamed: 11,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),STD Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),STD Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg),STD Chlorophyll b (µg/mg),Avg Total Chlorophyll (µg/cm2),STD Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),STD Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),STD Chlorophyll b (µg/cm2)
129,44,A,6.2,6.1,0.1467,0.1464,0.1469,0.3839,0.3813,0.3809,0.146666667,0.382033333,17.561472,5.08832,22.649792,17.72829067,5.191845333,22.920136,0.232524633,0.232644221,0.460785038,3.653192258,2.832495484,0.820696774,80.10819834,62.11173516,17.99646318,3.803150133,0.496545859,2.943531868,0.402882733,0.859618266,0.094256606,81.06435595,1.629712946,62.70174247,0.822397371,18.36261347,0.822820333
130,44,B,5.2,,0.147,0.1467,0.1453,0.3862,0.3832,0.3805,0.146333333,0.3833,17.62950133,5.028933333,22.65843467,,,,,,,4.357391282,3.390288718,0.967102564,80.13876589,62.35234255,17.78642333,3.803150133,0.496545859,2.943531868,0.402882733,0.859618266,0.094256606,81.06435595,1.629712946,62.70174247,0.822397371,18.36261347,0.822820333
131,44,C,6.9,,0.1523,0.1536,0.1533,0.3933,0.392,0.391,0.153066667,0.3921,17.99389867,5.458282667,23.45218133,,,,,,,3.39886686,2.607811401,0.791055459,82.94610361,63.6411497,19.3049539,3.803150133,0.496545859,2.943531868,0.402882733,0.859618266,0.094256606,81.06435595,1.629712946,62.70174247,0.822397371,18.36261347,0.822820333
132,45,A,5,4.933333333,0.1349,0.1351,0.1351,0.3402,0.3404,0.3397,0.135033333,0.3401,15.58045733,4.945261333,20.52571867,15.68131778,4.939572444,20.62089022,0.828684313,0.333948344,1.160909514,4.105143733,3.116091467,0.989052267,72.59573696,55.10524628,17.49049067,4.180418795,0.245149039,3.179071033,0.17680037,1.001347762,0.06897222,72.93234145,4.105925988,55.46197134,2.930905825,17.47037011,1.181114606
133,45,B,4.9,,0.1441,0.1441,0.1428,0.3637,0.3613,0.3593,0.143666667,0.361433333,16.555816,5.27064,21.826456,,,,,,,4.454378776,3.378737959,1.075640816,77.19620853,58.55491264,18.64129589,4.180418795,0.245149039,3.179071033,0.17680037,1.001347762,0.06897222,72.93234145,4.105925988,55.46197134,2.930905825,17.47037011,1.181114606
134,45,C,4.9,,0.1266,0.1284,0.1282,0.3228,0.327,0.3254,0.127733333,0.325066667,14.90768,4.602816,19.510496,,,,,,,3.981733878,3.042383673,0.939350204,69.00507887,52.72575511,16.27932376,4.180418795,0.245149039,3.179071033,0.17680037,1.001347762,0.06897222,72.93234145,4.105925988,55.46197134,2.930905825,17.47037011,1.181114606
135,46,A,7.3,7.2,0.1849,0.1803,0.18,0.4468,0.4398,0.4387,0.181733333,0.441766667,20.162192,7.012896,27.175088,19.56438,6.886813333,26.45119333,0.880096194,0.44269976,1.301650766,3.722614795,2.76194411,0.960670685,96.11334795,71.3100092,24.80333876,3.676738776,0.239514665,2.719146354,0.160475203,0.957592423,0.080104604,93.55306406,4.603702222,69.19565679,3.112740305,24.35740728,1.565748603
136,46,B,7.3,,0.1693,0.1652,0.1652,0.4116,0.4045,0.403,0.166566667,0.406366667,18.55376133,6.394749333,24.94851067,,,,,,,3.417604201,2.541611142,0.875993059,88.23834854,65.62128221,22.61706633,3.676738776,0.239514665,2.719146354,0.160475203,0.957592423,0.080104604,93.55306406,4.603702222,69.19565679,3.112740305,24.35740728,1.565748603
137,46,C,7,,0.1829,0.1842,0.1835,0.4403,0.439,0.4363,0.183533333,0.438533333,19.97718667,7.252794667,27.22998133,,,,,,,3.889997333,2.85388381,1.036113524,96.3074957,70.65567895,25.65181675,3.676738776,0.239514665,2.719146354,0.160475203,0.957592423,0.080104604,93.55306406,4.603702222,69.19565679,3.112740305,24.35740728,1.565748603
138,47,A,6.4,6.8,0.1455,0.1452,0.1451,0.3768,0.3744,0.3736,0.145266667,0.374933333,17.21924,5.117104,22.336344,17.65057244,5.310119111,22.96069156,0.466397228,0.187042867,0.651359146,3.49005375,2.69050625,0.7995475,78.99958973,60.90132277,18.09826696,3.382408001,0.1301139,2.60037103,0.104593858,0.782036971,0.026025484,81.20779358,2.303738933,62.42686724,1.64956224,18.78092633,0.66153663
139,47,B,6.7,,0.1495,0.1495,0.1494,0.3857,0.3829,0.381,0.149466667,0.3832,17.58697067,5.322698667,22.90966933,,,,,,,3.419353632,2.624920995,0.794432637,81.02733725,62.20191931,18.82541793,3.382408001,0.1301139,2.60037103,0.104593858,0.782036971,0.026025484,81.20779358,2.303738933,62.42686724,1.64956224,18.78092633,0.66153663
140,47,C,7.3,,0.153,0.155,0.1546,0.3966,0.3953,0.3942,0.1542,0.395366667,18.14550667,5.490554667,23.63606133,,,,,,,3.237816621,2.485685845,0.752130776,83.59645375,64.17735965,19.4190941,3.382408001,0.1301139,2.60037103,0.104593858,0.782036971,0.026025484,81.20779358,2.303738933,62.42686724,1.64956224,18.78092633,0.66153663
141,48,A,5.9,5.433333333,0.1169,0.1157,0.1152,0.3036,0.3007,0.2996,0.115933333,0.3013,13.84716533,4.037317333,17.88448267,14.32248533,4.160149333,18.48263467,0.416587176,0.131277159,0.53684688,3.031268249,2.346977175,0.684291073,63.25416519,48.97490745,14.27925774,3.42120563,0.355777557,2.651460355,0.280459132,0.769745275,0.075812831,65.36972012,1.898729857,50.65602792,1.473393138,14.7136922,0.464303454
142,48,B,5.4,,0.1245,0.1225,0.1215,0.3229,0.3176,0.3144,0.122833333,0.3183,14.62416133,4.298493333,18.92265467,,,,,,,3.504195309,2.708178025,0.796017284,66.9259909,51.72300111,15.20298979,3.42120563,0.355777557,2.651460355,0.280459132,0.769745275,0.075812831,65.36972012,1.898729857,50.65602792,1.473393138,14.7136922,0.464303454
143,48,C,5,,0.1206,0.1204,0.1203,0.3177,0.3147,0.3132,0.120433333,0.3152,14.49612933,4.144637333,18.64076667,,,,,,,3.728153333,2.899225867,0.828927467,65.92900427,51.27017519,14.65882908,3.42120563,0.355777557,2.651460355,0.280459132,0.769745275,0.075812831,65.36972012,1.898729857,50.65602792,1.473393138,14.7136922,0.464303454
144,49,A,4.4,4.566666667,0.0214,0.0216,0.0216,0.056,0.0556,0.0555,0.021533333,0.0557,2.558653333,0.755781333,3.314434667,2.603788889,0.742608889,3.346397778,0.192124389,0.132121404,0.320929994,0.753280606,0.581512121,0.171768485,11.72255311,9.049491877,2.673061234,0.732176986,0.04901646,0.569897331,0.024423907,0.162279655,0.024636227,11.83560083,1.135071069,9.209128135,0.679509052,2.626472692,0.467289396
145,49,B,4.5,,0.0186,0.0188,0.0202,0.0526,0.0522,0.0535,0.0192,0.052766667,2.438250667,0.604394667,3.042645333,,,,,,,0.676143407,0.541833481,0.134309926,10.76128363,8.623649525,2.137634104,0.732176986,0.04901646,0.569897331,0.024423907,0.162279655,0.024636227,11.83560083,1.135071069,9.209128135,0.679509052,2.626472692,0.467289396
146,49,C,4.8,,0.0241,0.0239,0.0243,0.0617,0.0611,0.0613,0.0241,0.061366667,2.814462667,0.867650667,3.682113333,,,,,,,0.767106944,0.586346389,0.180760556,13.02296574,9.954243003,3.068722737,0.732176986,0.04901646,0.569897331,0.024423907,0.162279655,0.024636227,11.83560083,1.135071069,9.209128135,0.679509052,2.626472692,0.467289396
