,Leaf number,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,Unnamed: 5,Unnamed: 6,A664,Unnamed: 8,Unnamed: 9,Average,Unnamed: 11,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),STD Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),STD Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg),STD Chlorophyll b (µg/mg),Avg Total Chlorophyll (µg/cm2),STD Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),STD Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),STD Chlorophyll b (µg/cm2)
166,56,B,6,,0.0929,0.0894,0.0901,0.2453,0.2404,0.2405,0.0908,0.242066667,11.15292267,3.025738667,14.17866133,,,,,,,2.363110222,1.858820444,0.504289778,50.14734857,39.44586074,10.70148782,2.33228204,0.131929032,1.848416113,0.09093997,0.483865927,0.042556736,49.94804493,0.371635376,39.59566779,0.129781131,10.35237713,0.449418064
167,56,C,6.4,,0.0846,0.09,0.0905,0.2416,0.2441,0.2426,0.088366667,0.242766667,11.21741733,2.783661333,14.00107867,,,,,,,2.187668542,1.752721458,0.434947083,49.51927094,39.67396666,9.845304284,2.33228204,0.131929032,1.848416113,0.09093997,0.483865927,0.042556736,49.94804493,0.371635376,39.59566779,0.129781131,10.35237713,0.449418064
168,57,A,6.5,6.133333333,0.1626,0.1623,0.1622,0.4087,0.4047,0.4033,0.162366667,0.405566667,18.56354533,6.021901333,24.58544667,18.92705244,5.992465778,24.91951822,0.345549657,0.036818837,0.311672146,3.78237641,2.855930051,0.926446359,86.95425715,65.65588644,21.29837071,4.071699867,0.251068603,3.093036411,0.205362653,0.978663456,0.047027619,88.13580753,1.102327744,66.94154504,1.222146341,21.19426249,0.130221534
169,57,B,5.9,,0.1673,0.1628,0.1625,0.4212,0.412,0.4087,0.1642,0.413966667,18.96632267,6.004314667,24.97063733,,,,,,,4.232311412,3.21463096,1.017680452,88.31660654,67.08043668,21.23616986,4.071699867,0.251068603,3.093036411,0.205362653,0.978663456,0.047027619,88.13580753,1.102327744,66.94154504,1.222146341,21.19426249,0.130221534
170,57,C,6,,0.1656,0.1648,0.1647,0.4248,0.4189,0.4157,0.165033333,0.4198,19.25128933,5.951181333,25.20247067,,,,,,,4.200411778,3.208548222,0.991863556,89.13655891,68.08831199,21.04824692,4.071699867,0.251068603,3.093036411,0.205362653,0.978663456,0.047027619,88.13580753,1.102327744,66.94154504,1.222146341,21.19426249,0.130221534
171,58,A,6.4,6.166666667,0.1613,0.1606,0.1609,0.4119,0.4079,0.4064,0.160933333,0.408733333,18.74079467,5.817610667,24.55840533,18.81281644,5.673588444,24.48640489,0.181806645,0.224033486,0.36228173,3.837250833,2.928249167,0.909001667,86.85861687,66.28278513,20.57583174,3.980107768,0.214641082,3.058971121,0.189943149,0.921136647,0.025177336,86.60396438,1.281324643,66.53751307,0.643017064,20.06645131,0.792365729
172,58,B,5.7,,0.1535,0.1571,0.1575,0.4086,0.4056,0.4048,0.156033333,0.406333333,18.67805467,5.415474667,24.09352933,,,,,,,4.226934971,3.276851696,0.950083275,85.21443493,66.06088515,19.15354979,3.980107768,0.214641082,3.058971121,0.189943149,0.921136647,0.025177336,86.60396438,1.281324643,66.53751307,0.643017064,20.06645131,0.792365729
173,58,C,6.4,,0.1626,0.1621,0.1613,0.4184,0.4138,0.4113,0.162,0.4145,19.0196,5.78768,24.80728,,,,,,,3.8761375,2.9718125,0.904325,87.73884134,67.26886893,20.46997241,3.980107768,0.214641082,3.058971121,0.189943149,0.921136647,0.025177336,86.60396438,1.281324643,66.53751307,0.643017064,20.06645131,0.792365729
174,59,A,6,6.3,0.1296,0.1297,0.1297,0.3458,0.3412,0.341,0.129666667,0.342666667,15.77441333,4.388453333,20.16286667,16.110636,4.583634667,20.69427067,0.291327494,0.190560315,0.470390354,3.360477778,2.629068889,0.731408889,71.31239537,55.79123341,15.52116196,3.286616901,0.064757935,2.559007782,0.063321439,0.727609119,0.00866468,73.19187475,1.663685202,56.98039188,1.030372405,16.21148287,0.673977204
175,59,B,6.5,,0.1365,0.1365,0.1368,0.3556,0.3541,0.3537,0.1366,0.354466667,16.28809867,4.769210667,21.05730933,,,,,,,3.239586051,2.505861333,0.733724718,74.47587654,57.60804508,16.86783146,3.286616901,0.064757935,2.559007782,0.063321439,0.727609119,0.00866468,73.19187475,1.663685202,56.98039188,1.030372405,16.21148287,0.673977204
176,59,C,6.4,,0.1342,0.1344,0.1349,0.3555,0.3525,0.3528,0.1345,0.3536,16.269396,4.59324,20.862636,,,,,,,3.259786875,2.542093125,0.71769375,73.78735234,57.54189715,16.24545519,3.286616901,0.064757935,2.559007782,0.063321439,0.727609119,0.00866468,73.19187475,1.663685202,56.98039188,1.030372405,16.21148287,0.673977204
177,60,A,4.8,5.033333333,0.1332,0.129,0.1289,0.3354,0.3276,0.3262,0.130366667,0.329733333,15.112132,4.743288,19.85542,14.80794356,4.698672889,19.50661644,0.271016059,0.049097527,0.316344617,4.136545833,3.148360833,0.988185,70.22501238,53.44886468,16.7761477,3.881754666,0.227332656,2.946909788,0.178986901,0.934844878,0.048476281,68.99135759,1.118853422,52.37300543,0.958534551,16.61835216,0.173649031
178,60,B,5.1,,0.1249,0.1294,0.1296,0.3214,0.3213,0.3215,0.127966667,0.3214,14.71950267,4.706658667,19.42616133,,,,,,,3.809051242,2.886176993,0.922874248,68.70680248,52.06020608,16.6465964,3.881754666,0.227332656,2.946909788,0.178986901,0.934844878,0.048476281,68.99135759,1.118853422,52.37300543,0.958534551,16.61835216,0.173649031
179,60,C,5.2,,0.1265,0.1269,0.1265,0.3192,0.3187,0.3178,0.126633333,0.318566667,14.592196,4.646072,19.238268,,,,,,,3.699666923,2.806191538,0.893475385,68.0422579,51.60994553,16.43231237,3.881754666,0.227332656,2.946909788,0.178986901,0.934844878,0.048476281,68.99135759,1.118853422,52.37300543,0.958534551,16.61835216,0.173649031
180,61,A,4.8,5.033333333,0.0122,0.0151,0.015,0.0389,0.0411,0.0411,0.0141,0.040366667,1.872302667,0.407650667,2.279953333,1.971870667,0.453229333,2.4251,0.091710747,0.061822685,0.148365824,0.474990278,0.390063056,0.084927222,8.063780623,6.621994294,1.441786329,0.481630607,0.005870317,0.391828227,0.00558667,0.089802381,0.007794905,8.577138007,0.524742959,6.974148216,0.324364246,1.60298979,0.218655604
181,61,B,5,,0.0137,0.0156,0.0155,0.042,0.0434,0.0433,0.014933333,0.0429,1.990421333,0.428437333,2.418858667,,,,,,,0.483771733,0.398084267,0.085687467,8.555063545,7.039758553,1.515304992,0.481630607,0.005870317,0.391828227,0.00558667,0.089802381,0.007794905,8.577138007,0.524742959,6.974148216,0.324364246,1.60298979,0.218655604
182,61,C,5.3,,0.0176,0.0159,0.0155,0.0461,0.044,0.0433,0.016333333,0.044466667,2.052888,0.5236,2.576488,,,,,,,0.486129811,0.387337358,0.098792453,9.112569852,7.260691802,1.851878051,0.481630607,0.005870317,0.391828227,0.00558667,0.089802381,0.007794905,8.577138007,0.524742959,6.974148216,0.324364246,1.60298979,0.218655604
183,62,A,3.9,4.966666667,0.0266,0.0265,0.0262,0.0717,0.0709,0.0703,0.026433333,0.070966667,3.271932,0.869704,4.141636,3.503052889,0.905744889,4.408797778,0.202688955,0.043098581,0.239444184,1.061957949,0.838956923,0.223001026,14.64821391,11.5722289,3.075985004,0.904895345,0.138527285,0.718487566,0.105832973,0.186407779,0.032800523,15.59311657,0.846870566,12.38966149,0.716874002,3.203455078,0.152431848
184,62,B,5.6,,0.0267,0.029,0.0292,0.0768,0.078,0.0781,0.0283,0.077633333,3.586673333,0.894045333,4.480718667,,,,,,,0.800128333,0.640477381,0.159650952,15.84748768,12.6854118,3.162075877,0.904895345,0.138527285,0.718487566,0.105832973,0.186407779,0.032800523,15.59311657,0.846870566,12.38966149,0.716874002,3.203455078,0.152431848
185,62,C,5.4,,0.0284,0.0298,0.0297,0.0785,0.0797,0.0792,0.0293,0.079133333,3.650553333,0.953485333,4.604038667,,,,,,,0.852599753,0.676028395,0.176571358,16.28364811,12.91134376,3.372304355,0.904895345,0.138527285,0.718487566,0.105832973,0.186407779,0.032800523,15.59311657,0.846870566,12.38966149,0.716874002,3.203455078,0.152431848
186,63,A,4.8,4.466666667,0.0257,0.0269,0.027,0.0722,0.0721,0.072,0.026533333,0.0721,3.328037333,0.853621333,4.181658667,3.476764444,0.986609778,4.463374222,0.129874784,0.143946699,0.253730117,0.871178889,0.693341111,0.177837778,14.78976681,11.77066327,3.019103534,1.008476427,0.149945323,0.784188037,0.095427433,0.22428839,0.054892986,15.78614353,0.897397315,12.29668404,0.459343512,3.489459496,0.509113316
187,63,B,4.6,,0.0288,0.0289,0.0294,0.0782,0.0771,0.077,0.029033333,0.077433333,3.567790667,0.966754667,4.534545333,,,,,,,0.985770725,0.775606667,0.210164058,16.03786282,12.61862724,3.419235576,1.008476427,0.149945323,0.784188037,0.095427433,0.22428839,0.054892986,15.78614353,0.897397315,12.29668404,0.459343512,3.489459496,0.509113316
188,63,C,4,,0.031,0.0308,0.0307,0.077,0.0777,0.0769,0.030833333,0.0772,3.534465333,1.139453333,4.673918667,,,,,,,1.168479667,0.883616333,0.284863333,16.53080097,12.50076159,4.030039377,1.008476427,0.149945323,0.784188037,0.095427433,0.22428839,0.054892986,15.78614353,0.897397315,12.29668404,0.459343512,3.489459496,0.509113316
189,64,A,4.9,4.2,0.0329,0.0326,0.0326,0.0865,0.0853,0.085,0.0327,0.0856,3.936844,1.124968,5.061812,3.861348,1.094072,4.95542,0.069435108,0.031157888,0.10018627,1.033022857,0.803437551,0.229585306,17.9027092,13.92390182,3.978807385,1.193442596,0.141481296,0.930072025,0.111297797,0.263370571,0.030277294,17.52642003,0.35434063,13.65688619,0.245579359,3.869533847,0.110199788
190,64,B,3.9,,0.0315,0.0313,0.0311,0.0833,0.0824,0.082,0.0313,0.082566667,3.800222667,1.062658667,4.862881333,,,,,,,1.24689265,0.974416068,0.272476581,17.19912758,13.44069699,3.758430596,1.193442596,0.141481296,0.930072025,0.111297797,0.263370571,0.030277294,17.52642003,0.35434063,13.65688619,0.245579359,3.869533847,0.110199788
191,64,C,3.8,,0.0316,0.0324,0.0317,0.0838,0.084,0.0831,0.0319,0.083633333,3.846977333,1.094589333,4.941566667,,,,,,,1.300412281,1.012362456,0.288049825,17.47742331,13.60605975,3.871363561,1.193442596,0.141481296,0.930072025,0.111297797,0.263370571,0.030277294,17.52642003,0.35434063,13.65688619,0.245579359,3.869533847,0.110199788
192,65,A,5.9,5.85,0.0938,0.0938,0.0942,0.2547,0.2524,0.2515,0.093933333,0.252866667,11.661496,3.075344,14.73684,11.57028222,3.034838222,14.60512044,0.079048663,0.043949028,0.117807707,2.497769492,1.976524746,0.521244746,52.12152508,41.2445922,10.87693287,2.504806355,0.009951628,1.982023522,0.007776444,0.522782833,0.002175183,51.65565694,0.416664452,40.92198565,0.279580755,10.7336713,0.155439727
193,65,B,5.8,,0.0927,0.0928,0.0931,0.2516,0.2494,0.2489,0.092866667,0.249966667,11.52762933,3.041061333,14.56869067,,,,,,,2.511843218,1.987522299,0.52432092,51.52681144,40.77113013,10.75568131,2.504806355,0.009951628,1.982023522,0.007776444,0.522782833,0.002175183,51.65565694,0.416664452,40.92198565,0.279580755,10.7336713,0.155439727
194,65,C,.5.6,,0.0927,0.0918,0.0922,0.2521,0.249,0.248,0.092233333,0.2497,11.52172133,2.988109333,14.50983067,,,,,,,,,,51.31863432,40.75023461,10.56839971,2.504806355,0.009951628,1.982023522,0.007776444,0.522782833,0.002175183,51.65565694,0.416664452,40.92198565,0.279580755,10.7336713,0.155439727
195,66,A,4.8,4.833333333,0.0783,0.0782,0.0779,0.2092,0.2067,0.2061,0.078133333,0.207333333,9.548298667,2.625258667,12.17355733,9.678601333,2.654296,12.33289733,0.269705624,0.106524106,0.374803834,2.536157778,1.989228889,0.546928889,43.05566009,33.77059725,9.285062837,2.551268231,0.04731678,2.002218934,0.031852267,0.549049297,0.015778942,43.61921671,1.325613051,34.2314541,0.953899779,9.387762609,0.376756406
196,66,B,4.9,,0.0828,0.0816,0.0817,0.2197,0.2158,0.2154,0.082033333,0.216966667,9.988716,2.772328,12.761044,,,,,,,2.604294694,2.038513469,0.565781224,45.13349367,35.32827333,9.805220344,2.551268231,0.04731678,2.002218934,0.031852267,0.549049297,0.015778942,43.61921671,1.325613051,34.2314541,0.953899779,9.387762609,0.376756406
197,66,C,4.8,,0.0776,0.077,0.077,0.2081,0.2058,0.2045,0.0772,0.206133333,9.498789333,2.565301333,12.06409067,,,,,,,2.513352222,1.978914444,0.534437778,42.66849638,33.59549174,9.073004645,2.551268231,0.04731678,2.002218934,0.031852267,0.549049297,0.015778942,43.61921671,1.325613051,34.2314541,0.953899779,9.387762609,0.376756406
198,67,A,4.5,4.7,0.0802,0.0798,0.0798,0.2156,0.2133,0.2127,0.079933333,0.213866667,9.857096,2.646384,12.50348,9.783409867,2.6343792,12.41778907,0.066669888,0.085381194,0.127802774,2.778551111,2.190465778,0.588085333,44.22253661,34.8627573,9.359779303,2.655732346,0.221698052,2.093086468,0.186501012,0.562645877,0.035763448,43.91946335,0.452015187,34.60214284,0.235799278,9.317320506,0.301977769
199,67,B,5.2,,0.0807,0.08,0.08,0.2141,0.2112,0.2111,0.080233333,0.212133333,9.765870667,2.713122667,12.47899333,,,,,,,2.39980641,1.878052051,0.521754359,44.13593172,34.54010988,9.595821839,2.655732346,0.221698052,2.093086468,0.186501012,0.562645877,0.035763448,43.91946335,0.452015187,34.60214284,0.235799278,9.317320506,0.301977769
200,67,C,4.4,,0.0783,0.078,0.07802,0.2125,0.2102,0.2099,0.078106667,0.210866667,9.727262933,2.543630933,12.27089387,,,,,,,2.788839515,2.210741576,0.578097939,43.39992172,34.40356134,8.996360378,2.655732346,0.221698052,2.093086468,0.186501012,0.562645877,0.035763448,43.91946335,0.452015187,34.60214284,0.235799278,9.317320506,0.301977769
201,68,A,6,5.8,0.1037,0.1036,0.1034,0.2746,0.272,0.2708,0.103566667,0.272466667,12.53725733,3.532589333,16.06984667,12.26876844,3.366868444,15.63563689,0.352129723,0.145881756,0.475236398,2.678307778,2.089542889,0.588764889,56.83612742,44.3420009,12.49412652,2.696106335,0.053260969,2.115756869,0.0516503,0.580349466,0.008611904,55.30040634,1.680824777,43.39240449,1.24541884,11.90800185,0.515957263
202,68,B,5.7,,0.1007,0.1002,0.1001,0.2718,0.2679,0.2672,0.100333333,0.268966667,12.398968,3.31016,15.709128,,,,,,,2.755987368,2.175257544,0.580729825,55.56033105,43.85289665,11.70743439,2.696106335,0.053260969,2.115756869,0.0516503,0.580349466,0.008611904,55.30040634,1.680824777,43.39240449,1.24541884,11.90800185,0.515957263
203,68,C,5.7,,0.0964,0.0973,0.0975,0.259,0.2574,0.2568,0.097066667,0.257733333,11.87008,3.257856,15.127936,,,,,,,2.65402386,2.082470175,0.571553684,53.50476056,41.98231591,11.52244465,2.696106335,0.053260969,2.115756869,0.0516503,0.580349466,0.008611904,55.30040634,1.680824777,43.39240449,1.24541884,11.90800185,0.515957263
204,69,A,5.4,4.966666667,0.0228,0.0242,0.0229,0.0602,0.062,0.0609,0.0233,0.061033333,2.807177333,0.800685333,3.607862667,2.909040889,0.869619556,3.778660444,0.165185116,0.074686277,0.236499894,0.668122716,0.519847654,0.148275062,12.76035462,9.928476103,2.831878522,0.774703946,0.130241263,0.596165208,0.096822254,0.178538738,0.033666818,13.36443533,0.836457148,10.28874899,0.584229737,3.075686339,0.26415179
205,69,B,4,,0.024,0.0242,0.0239,0.0619,0.0615,0.061,0.024033333,0.061466667,2.820316,0.859208,3.679524,,,,,,,0.919881,0.705079,0.214802,13.01380774,9.974945179,3.038862559,0.774703946,0.130241263,0.596165208,0.096822254,0.178538738,0.033666818,13.36443533,0.836457148,10.28874899,0.584229737,3.075686339,0.26415179
206,69,C,5.5,,0.0268,0.0261,0.0265,0.0683,0.0672,0.0672,0.026466667,0.067566667,3.099629333,0.948965333,4.048594667,,,,,,,0.736108121,0.56356897,0.172539152,14.31914362,10.96282568,3.356317936,0.774703946,0.130241263,0.596165208,0.096822254,0.178538738,0.033666818,13.36443533,0.836457148,10.28874899,0.584229737,3.075686339,0.26415179
207,70,A,3.9,4.4,0.0323,0.0324,0.0319,0.0835,0.0828,0.0824,0.0322,0.0829,3.806312,1.138928,4.94524,3.872016,1.142965333,5.014981333,0.126371376,0.007048365,0.122622163,1.268010256,0.975977436,0.292032821,17.49041522,13.46223385,4.028181368,1.149630123,0.118348341,0.887128714,0.086338609,0.262501408,0.032443731,17.73707764,0.433692307,13.69461696,0.446952592,4.042460682,0.024928785
208,70,B,5,,0.0329,0.0336,0.0333,0.088,0.0872,0.0868,0.033266667,0.087333333,4.017704,1.138864,5.156568,,,,,,,1.0313136,0.8035408,0.2277728,18.23784396,14.20988894,4.027955012,1.149630123,0.118348341,0.887128714,0.086338609,0.262501408,0.032443731,17.73707764,0.433692307,13.69461696,0.446952592,4.042460682,0.024928785
209,70,C,4.3,,0.0321,0.0319,0.0328,0.0833,0.0823,0.0823,0.032266667,0.082633333,3.792032,1.151104,4.943136,,,,,,,1.149566512,0.881867907,0.267698605,17.48297376,13.41172809,4.071245667,1.149630123,0.118348341,0.887128714,0.086338609,0.262501408,0.032443731,17.73707764,0.433692307,13.69461696,0.446952592,4.042460682,0.024928785
210,71,A,5.6,5.2,0.041,0.0418,0.0417,0.1039,0.1035,0.1031,0.0415,0.1035,4.73662,1.54276,6.27938,4.154064533,1.725786667,5.8798512,0.871769813,0.377639021,0.505253138,1.121317857,0.845825,0.275492857,22.20902596,16.75256419,5.456461767,1.15326851,0.238939533,0.820812909,0.256270687,0.332455601,0.052519944,20.7959652,1.786988534,14.69217137,3.083291408,6.103793827,1.335640592
211,71,B,4.3,,0.0397,0.0399,0.0401,0.1003,0.0998,0.0996,0.0399,0.0999,4.57374,1.474536,6.048276,,,,,,,1.406575814,1.063660465,0.342915349,21.39165311,16.17648723,5.215165877,1.15326851,0.238939533,0.820812909,0.256270687,0.332455601,0.052519944,20.7959652,1.786988534,14.69217137,3.083291408,6.103793827,1.335640592
212,71,C,5.7,,0.0403,0.0407,0.0406,0.1031,0.1025,0.01018,0.040533333,0.071926667,3.1518336,2.160064,5.3118976,,,,,,,0.93191186,0.552953263,0.378958596,18.78721652,11.14746269,7.639753837,1.15326851,0.238939533,0.820812909,0.256270687,0.332455601,0.052519944,20.7959652,1.786988534,14.69217137,3.083291408,6.103793827,1.335640592
213,72,A,5.8,5.266666667,0.0281,0.0254,0.0242,0.0731,0.0704,0.0686,0.0259,0.0707,3.264828,0.826056,4.090884,3.231622667,0.832968,4.064590667,0.034954099,0.005986039,0.030202368,0.705324828,0.562901379,0.142423448,14.46871331,11.54710335,2.92160996,0.775300809,0.060730764,0.616303126,0.046417709,0.158997683,0.014353709,14.37571856,0.106820288,11.42966212,0.123626295,2.946056448,0.021171534
214,72,B,5,,0.0257,0.0259,0.026,0.0705,0.0699,0.0699,0.025866667,0.0701,3.234890667,0.836394667,4.071285333,,,,,,,0.814257067,0.646978133,0.167278933,14.39939638,11.44122044,2.958175945,0.775300809,0.060730764,0.616303126,0.046417709,0.158997683,0.014353709,14.37571856,0.106820288,11.42966212,0.123626295,2.946056448,0.021171534
215,72,C,5,,0.0258,0.0257,0.0255,0.0698,0.069,0.069,0.025666667,0.069266667,3.195149333,0.836453333,4.031602667,,,,,,,0.806320533,0.639029867,0.167290667,14.259046,11.30066256,2.958383438,0.775300809,0.060730764,0.616303126,0.046417709,0.158997683,0.014353709,14.37571856,0.106820288,11.42966212,0.123626295,2.946056448,0.021171534
216,73,A,5.1,5.666666667,0.1214,0.1205,0.1203,0.334,0.3305,0.3289,0.120733333,0.331133333,15.29813067,3.815642667,19.11377333,15.64375378,3.026881778,18.67063556,0.325111489,1.659807782,1.437977429,3.747798693,2.999633464,0.748165229,67.60194289,54.10670817,13.49523473,3.34009135,0.587935565,2.781155369,0.261666762,0.55893598,0.332540771,66.0346451,5.085864854,55.3291143,1.149860256,10.7055308,5.870438503
217,73,B,6.4,,0.1271,0.0264,0.1263,0.3396,0.3367,0.3359,0.093266667,0.3374,15.94347467,1.119770667,17.06324533,,,,,,,2.666132083,2.491167917,0.174964167,60.34959798,56.38917262,3.960425361,3.34009135,0.587935565,2.781155369,0.261666762,0.55893598,0.332540771,66.0346451,5.085864854,55.3291143,1.149860256,10.7055308,5.870438503
218,73,C,5.5,,0.1262,0.1266,0.1266,0.342,0.3396,0.3391,0.126466667,0.340233333,15.689656,4.145232,19.834888,,,,,,,3.606343273,2.852664727,0.753678545,70.15239443,55.49146212,14.66093231,3.34009135,0.587935565,2.781155369,0.261666762,0.55893598,0.332540771,66.0346451,5.085864854,55.3291143,1.149860256,10.7055308,5.870438503
219,74,A,4.3,5,0.0776,0.0766,0.0765,0.2098,0.2078,0.2067,0.0769,0.2081,9.601812,2.493336,12.095148,8.623280444,3.082847111,11.70612756,1.842700875,0.905892543,0.949711515,2.812825116,2.232979535,0.579845581,42.77834052,33.95986419,8.818476339,2.371168945,0.409358714,1.756093681,0.505600779,0.615075264,0.148946147,41.40244591,3.358957047,30.49897589,6.517298137,10.90347001,3.203977304
220,74,B,5.3,,0.0801,0.0799,0.0795,0.0213,0.2109,0.21,0.079833333,0.1474,6.497737333,4.125933333,10.62367067,,,,,,,2.004466164,1.225988176,0.778477987,37.5739926,22.98131617,14.59267643,2.371168945,0.409358714,1.756093681,0.505600779,0.615075264,0.148946147,41.40244591,3.358957047,30.49897589,6.517298137,10.90347001,3.203977304
221,74,C,5.4,,0.0793,0.0796,0.079,0.2131,0.2117,0.2112,0.0793,0.212,9.770292,2.629272,12.399564,,,,,,,2.296215556,1.809313333,0.486902222,43.8550046,34.55574733,9.299257268,2.371168945,0.409358714,1.756093681,0.505600779,0.615075264,0.148946147,41.40244591,3.358957047,30.49897589,6.517298137,10.90347001,3.203977304
222,75,A,4.7,5.166666667,0.086,0.0861,0.086,0.2317,0.2303,0.2299,0.086033333,0.230633333,10.63186267,2.838354667,13.47021733,10.43920267,2.836944,13.27614667,0.167095305,0.053023409,0.179171901,2.866003688,2.26209844,0.603905248,47.64171088,37.60296621,10.03874467,2.590791246,0.292884102,2.037892139,0.239945409,0.552899107,0.05297898,46.9553182,0.633698456,36.9215628,0.590985729,10.03375539,0.187534162
223,75,B,5,,0.0839,0.084,0.0838,0.2251,0.2243,0.2233,0.0839,0.224233333,10.33379333,2.783229333,13.11702267,,,,,,,2.623404533,2.066758667,0.556645867,46.39252552,36.54874915,9.843776379,2.590791246,0.292884102,2.037892139,0.239945409,0.552899107,0.05297898,46.9553182,0.633698456,36.9215628,0.590985729,10.03375539,0.187534162
224,75,C,5.8,,0.0852,0.0852,0.0852,0.2258,0.2247,0.2242,0.0852,0.2249,10.351952,2.889248,13.2412,,,,,,,2.282965517,1.78481931,0.498146207,46.83171819,36.61297305,10.21874514,2.590791246,0.292884102,2.037892139,0.239945409,0.552899107,0.05297898,46.9553182,0.633698456,36.9215628,0.590985729,10.03375539,0.187534162
225,76,A,4.4,4.3,0.0802,0.0804,0.0803,0.2155,0.2141,0.2141,0.0803,0.214566667,9.888102667,2.664818667,12.55292133,9.922830222,2.654307556,12.57713778,0.07077759,0.009394869,0.069627512,2.852936667,2.247296061,0.605640606,44.39740162,34.97242225,9.424979369,2.926158483,0.081050153,2.308678901,0.068120625,0.617479582,0.012931747,44.48305078,0.246259856,35.0952473,0.250327474,9.387803479,0.033227945
226,76,B,4.3,,0.0801,0.0799,0.0801,0.2155,0.214,0.2133,0.080033333,0.214266667,9.876124,2.646728,12.522852,,,,,,,2.912291163,2.296773023,0.61551814,44.29105185,34.93005588,9.360995968,2.926158483,0.081050153,2.308678901,0.068120625,0.617479582,0.012931747,44.48305078,0.246259856,35.0952473,0.250327474,9.387803479,0.033227945
227,76,C,4.2,,0.0808,0.0807,0.0807,0.2179,0.2171,0.2159,0.080733333,0.216966667,10.004264,2.651376,12.65564,,,,,,,3.013247619,2.381967619,0.63128,44.76069888,35.38326378,9.377435099,2.926158483,0.081050153,2.308678901,0.068120625,0.617479582,0.012931747,44.48305078,0.246259856,35.0952473,0.250327474,9.387803479,0.033227945
228,77,A,6,5.566666667,0.0789,0.0722,0.0777,0.2118,0.208,0.2078,0.076266667,0.2092,9.665002667,2.409770667,12.07477333,9.540167111,2.449479111,11.98964622,0.177825724,0.061935907,0.206320767,2.012462222,1.610833778,0.401628444,42.70627903,34.18335809,8.52292094,2.163936223,0.192348918,1.721381006,0.145383626,0.442555218,0.047262437,42.40519991,0.729719059,33.74183742,0.628937273,8.663362492,0.219056048
229,77,B,5.6,,0.0748,0.0747,0.0746,0.2036,0.2021,0.2013,0.0747,0.202333333,9.336561333,2.417821333,11.75438267,,,,,,,2.098996905,1.667243095,0.43175381,41.57311547,33.02172078,8.551394685,2.163936223,0.192348918,1.721381006,0.145383626,0.442555218,0.047262437,42.40519991,0.729719059,33.74183742,0.628937273,8.663362492,0.219056048
230,77,C,5.1,,0.0801,0.0759,0.0759,0.2118,0.2071,0.2067,0.0773,0.208533333,9.618937333,2.520845333,12.13978267,,,,,,,2.380349542,1.886066144,0.494283399,42.93620523,34.02043338,8.915771852,2.163936223,0.192348918,1.721381006,0.145383626,0.442555218,0.047262437,42.40519991,0.729719059,33.74183742,0.628937273,8.663362492,0.219056048
231,78,A,5.7,5.2,0.021,0.0211,0.021,0.0582,0.0577,0.0575,0.021033333,0.0578,2.670809333,0.662221333,3.333030667,2.618781333,0.658949333,3.277730667,0.045236012,0.0028512,0.048033766,0.584742222,0.468563041,0.116179181,11.78832378,9.446167268,2.342156516,0.63267501,0.041926188,0.505412105,0.032225205,0.127262905,0.009701112,11.59273773,0.169886703,9.262153687,0.159991554,2.330584047,0.010084178
232,78,B,4.9,,0.0202,0.0206,0.0209,0.056,0.0561,0.0561,0.020566667,0.056066667,2.588753333,0.657629333,3.246382667,,,,,,,0.662527075,0.528317007,0.134210068,11.48186555,9.155950107,2.325915446,0.63267501,0.041926188,0.505412105,0.032225205,0.127262905,0.009701112,11.59273773,0.169886703,9.262153687,0.159991554,2.330584047,0.010084178
233,78,C,5,,0.0205,0.0207,0.0206,0.0566,0.056,0.0561,0.0206,0.056233333,2.596781333,0.656997333,3.253778667,,,,,,,0.650755733,0.519356267,0.131399467,11.50802386,9.184343684,2.323680177,0.63267501,0.041926188,0.505412105,0.032225205,0.127262905,0.009701112,11.59273773,0.169886703,9.262153687,0.159991554,2.330584047,0.010084178
234,79,A,4.5,4.3,0.0316,0.03185,0.0312,0.0875,0.0869,0.0863,0.03155,0.0869,4.016326,0.988852,5.005178,3.742745111,0.875107111,4.617852222,0.264111741,0.113563769,0.377517237,1.112261778,0.892516889,0.219744889,17.70240504,14.20501521,3.497389828,1.074633538,0.047220561,0.871484661,0.038316862,0.203148877,0.014380033,16.33250415,1.335209865,13.23740932,0.934115234,3.095094826,0.401654413
