Leaf No.,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,1,64,50,0.1986690335574233,0.1492123824211097,0.5188355464466963,0.5734533712173522,0.268117284655278,0.2241276690975455,White LED,12.5 mA,b'OK Read',9:48:29,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,50,0.1986012723062588,0.1476631758282182,0.5286070548667251,0.5900851047241283,0.2696491653429831,0.2193823580315627,White LED,25 mA,b'OK Read',9:48:31,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,50,0.2117403848628229,0.160060308949813,0.6027183374001714,0.6697128340210651,0.2925093683572901,0.2403886994965817,White LED,50 mA,b'OK Read',9:48:32,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,50,0.2134965171862897,0.1647428726340776,0.6366917504349021,0.7109471914707478,0.3012451208630557,0.2458332050048813,White LED,100 mA,b'OK Read',9:48:33,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,100,0.1976269300912478,0.1503633740312037,0.5605808857855661,0.6266000728846293,0.28248160729372,0.2313120977690226,White LED,12.5 mA,b'OK Read',9:48:34,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,100,0.1984728194579704,0.1499834870596309,0.5623303036292545,0.6283980265630624,0.2773836799436023,0.2265615358147788,White LED,25 mA,b'OK Read',9:48:36,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,100,0.2125214010499622,0.1628573425078754,0.6362406415582434,0.715578744253477,0.2996547713977964,0.2460239780164581,White LED,50 mA,b'OK Read',9:48:37,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,100,0.2142731897763955,0.1672772829262848,0.6626647973904567,0.7491347440896826,0.3087743148335707,0.2504782067577493,White LED,100 mA,b'OK Read',9:48:38,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,150,0.1974229295851386,0.1524989436274056,0.5741226332004441,0.6448815250186261,0.2852092007431667,0.2298619506364791,White LED,12.5 mA,b'OK Read',9:48:40,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,150,0.1984319277458461,0.151655644640976,0.5807715024405464,0.6534253495747836,0.2800754982626123,0.2288010850312593,White LED,25 mA,b'OK Read',9:48:41,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,150,0.2131356641852742,0.1658997778368778,0.656697103489814,0.7461438742534547,0.3057679208979028,0.249569916474388,White LED,50 mA,b'OK Read',9:48:42,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,150,0.2150530417027462,0.1696038098086576,0.6762883758745486,0.771537904865798,0.3133996658960223,0.2533917326086945,White LED,100 mA,b'OK Read',9:48:44,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,200,0.1974014594084422,0.1538821848582607,0.5808873309362259,0.6556303748888713,0.2867328964298763,0.231791823637638,White LED,12.5 mA,b'OK Read',9:48:45,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,200,0.1982803232060106,0.1528331145478614,0.5873682639576722,0.6655694301638463,0.2824822154182364,0.2317895642841583,White LED,25 mA,b'OK Read',9:48:46,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,200,0.2143207580313954,0.1677060598497537,0.6638994863476557,0.7562847038357906,0.3092046405673779,0.2517378567171414,White LED,50 mA,b'OK Read',9:48:48,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,200,0.2165890546127278,0.1706326016364573,0.6792596185651985,0.774781061936362,0.3162738032745775,0.2555562561022622,White LED,100 mA,b'OK Read',9:48:49,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,250,0.197441809927312,0.153011818486143,0.5754106092821818,0.6484547784951884,0.2876490740912475,0.2306339667705657,White LED,12.5 mA,b'OK Read',9:48:50,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,250,0.1984059683575643,0.1523674750238827,0.5847717573505252,0.6612857916808796,0.2816526100727956,0.2309916438450364,White LED,25 mA,b'OK Read',9:48:52,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,250,0.2147729659140612,0.1671011706515754,0.6590595104729075,0.7491211121474737,0.3098671513878884,0.2518530582609971,White LED,50 mA,b'OK Read',9:48:53,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
1,1,64,250,0.2171638036873388,0.1697658296257702,0.6721308062200527,0.7652070825418393,0.3157422307590873,0.255156911970117,White LED,100 mA,b'OK Read',9:48:55,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
