,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,2.263478611,1.822374722,0.441103889,38.42646012,30.93795949,7.488500625,41.448511,33.485180729999996,7.963330268,2.190958039333333,1.7698893476666668,0.42106869166666666
1,1,B,2.216171026,1.796764359,0.419406667,40.75860979,33.04511094,7.713498856,41.448511,33.485180729999996,7.963330268,2.190958039333333,1.7698893476666668,0.42106869166666666
2,1,C,2.093224481,1.690528962,0.402695519,45.16046309,36.47247176,8.687991323,41.448511,33.485180729999996,7.963330268,2.190958039333333,1.7698893476666668,0.42106869166666666
3,2,A,3.525741197,2.782394188,0.743347009,48.63263304,38.37920822,10.25342482,50.44354216,39.75479317333333,10.688748989999999,3.4719724366666664,2.7344053266666664,0.7375671103333333
4,2,B,3.093062609,2.468954783,0.624107826,50.3221617,40.16832426,10.15383745,50.44354216,39.75479317333333,10.688748989999999,3.4719724366666664,2.7344053266666664,0.7375671103333333
5,2,C,3.797113504,2.951867009,0.845246496,52.37583174,40.71684704,11.6589847,50.44354216,39.75479317333333,10.688748989999999,3.4719724366666664,2.7344053266666664,0.7375671103333333
6,3,A,2.991815667,2.340424333,0.651391333,42.32603334,33.11062224,9.215411096,45.294102943333336,35.05946570333333,10.234637242,3.4176825796666663,2.6439767753333334,0.7737058043333334
7,3,B,4.228707527,3.250910538,0.977796989,46.36412723,35.64342741,10.72069982,45.294102943333336,35.05946570333333,10.234637242,3.4176825796666663,2.6439767753333334,0.7737058043333334
8,3,C,3.032524545,2.340595455,0.691929091,47.19214826,36.42434746,10.76780081,45.294102943333336,35.05946570333333,10.234637242,3.4176825796666663,2.6439767753333334,0.7737058043333334
9,4,A,2.093352296,1.676717037,0.416635259,33.31712999,26.68609559,6.631034401,34.36069416,27.637334653333337,6.723359505666667,2.0675995613333336,1.6628857716666667,0.40471379
10,4,B,2.114139444,1.693180556,0.420958889,35.89116974,28.7446653,7.146504445,34.36069416,27.637334653333337,6.723359505666667,2.0675995613333336,1.6628857716666667,0.40471379
11,4,C,1.995306944,1.618759722,0.376547222,33.87378275,27.48124307,6.392539671,34.36069416,27.637334653333337,6.723359505666667,2.0675995613333336,1.6628857716666667,0.40471379
12,5,A,2.851543273,2.148602182,0.702941091,55.46964703,41.79568508,13.67396194,53.19928949333333,41.12431523,12.074974258,2.506892937,1.936170602,0.570722335
13,5,B,2.462865,1.868575,0.59429,55.74851807,42.29638537,13.4521327,53.19928949333333,41.12431523,12.074974258,2.506892937,1.936170602,0.570722335
14,5,C,2.206270538,1.791334624,0.414935914,48.37970338,39.28087524,9.098828134,53.19928949333333,41.12431523,12.074974258,2.506892937,1.936170602,0.570722335
15,6,A,1.046717829,0.918245891,0.128471938,15.91881823,13.96497607,1.953842164,17.414988250000004,15.01071263,2.4042756203333333,1.0476035393333334,0.9036281766666666,0.14397536266666666
16,6,B,0.959173061,0.861600816,0.097572245,16.62286199,14.93189503,1.690966966,17.414988250000004,15.01071263,2.4042756203333333,1.0476035393333334,0.9036281766666666,0.14397536266666666
17,6,C,1.136919728,0.931037823,0.205881905,19.70328453,16.13526679,3.568017731,17.414988250000004,15.01071263,2.4042756203333333,1.0476035393333334,0.9036281766666666,0.14397536266666666
18,7,A,1.431400635,1.189704127,0.241696508,21.2629365,17.67262267,3.590313834,23.053871243333333,19.266168366666665,3.7877028759999996,1.6127984626666667,1.347199933,0.2655985296666667
19,7,B,1.490729841,1.269971111,0.22075873,22.14425031,18.86495956,3.27929075,23.053871243333333,19.266168366666665,3.7877028759999996,1.6127984626666667,1.347199933,0.2655985296666667
20,7,C,1.916264912,1.581924561,0.334340351,25.75442692,21.26092287,4.493504044,23.053871243333333,19.266168366666665,3.7877028759999996,1.6127984626666667,1.347199933,0.2655985296666667
21,8,A,3.612325405,2.805681081,0.806644324,47.27171253,36.71578128,10.55593124,50.93254737666666,39.34508814666667,11.587459226666667,3.589816513,2.774094054666666,0.8157224586666668
22,8,B,3.299162029,2.536483188,0.762678841,53.67526821,41.26696848,12.40829973,50.93254737666666,39.34508814666667,11.587459226666667,3.589816513,2.774094054666666,0.8157224586666668
23,8,C,3.857962105,2.980117895,0.877844211,51.85066139,40.05251468,11.79814671,50.93254737666666,39.34508814666667,11.587459226666667,3.589816513,2.774094054666666,0.8157224586666668
24,9,A,1.62903845,1.221283411,0.407755039,24.77493575,18.57366721,6.201268539,26.655278113333335,20.265831976666664,6.389446134333333,1.6657432206666665,1.2663712403333334,0.3993719806666667
25,9,B,1.569266667,1.191823946,0.377442721,27.19603405,20.6547971,6.541236943,26.655278113333335,20.265831976666664,6.389446134333333,1.6657432206666665,1.2663712403333334,0.3993719806666667
26,9,C,1.798924545,1.386006364,0.412918182,27.99486454,21.56903162,6.425832921,26.655278113333335,20.265831976666664,6.389446134333333,1.6657432206666665,1.2663712403333334,0.3993719806666667
27,10,A,1.925897143,1.537428571,0.388468571,38.14467001,30.45059065,7.694079366,42.2244009,33.602945776666665,8.621455125333334,2.0749270836666667,1.653608217333333,0.421318866
28,10,B,2.256637233,1.833312956,0.423324277,42.3009738,34.36570229,7.93527151,42.2244009,33.602945776666665,8.621455125333334,2.0749270836666667,1.653608217333333,0.421318866
29,10,C,2.042246875,1.590083125,0.45216375,46.22755889,35.99254439,10.2350145,42.2244009,33.602945776666665,8.621455125333334,2.0749270836666667,1.653608217333333,0.421318866
30,11,A,4.210294286,3.217164762,0.993129524,62.5423923,47.78981396,14.75257834,57.26818357,44.319121609999996,12.949061956666668,4.122151255666667,3.1924796863333333,0.92967157
31,11,B,4.329638148,3.40205963,0.927578519,55.12731603,43.31688005,11.81043597,57.26818357,44.319121609999996,12.949061956666668,4.122151255666667,3.1924796863333333,0.92967157
32,11,C,3.826521333,2.958214667,0.868306667,54.13484238,41.85067082,12.28417156,57.26818357,44.319121609999996,12.949061956666668,4.122151255666667,3.1924796863333333,0.92967157
33,12,A,3.144748627,2.509444314,0.635304314,37.81617505,30.17652496,7.639650091,39.30709642666667,31.020922246666668,8.286174184333333,3.1741058706666667,2.5056681573333335,0.668437713
34,12,B,3.103283429,2.467605714,0.635677714,38.41512343,30.54615548,7.868967956,39.30709642666667,31.020922246666668,8.286174184333333,3.1741058706666667,2.5056681573333335,0.668437713
35,12,C,3.274285556,2.539954444,0.734331111,41.6899908,32.3400863,9.349904506,39.30709642666667,31.020922246666668,8.286174184333333,3.1741058706666667,2.5056681573333335,0.668437713
36,13,A,1.80477697,1.450219394,0.354557576,28.08593997,22.56831482,5.517625144,29.18027555666667,23.604520836666666,5.575754717333333,1.8364492886666668,1.484892504,0.3515567849999999
