Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
1,1,64,50,0.108131799342331,0.11574133331394199,0.18524069013180694,0.18098494043843166,0.13999999410442407,0.11242834988538608,White LED,12.5 mA,b'OK Read',11:05:52
1,1,64,50,0.10824164620216742,0.11625083450293476,0.1855463337200571,0.18143100581248883,0.1402428061312902,0.1141058342521191,White LED,25 mA,b'OK Read',11:05:53
1,1,64,50,0.11037581235487834,0.11857535919535922,0.18843211365277568,0.18420812246666396,0.14253458555508186,0.11709080824442974,White LED,50 mA,b'OK Read',11:05:54
1,1,64,50,0.11605954763716723,0.12453530970559677,0.1988440326578567,0.1944216795783294,0.15040316370211218,0.12346254627950119,White LED,100 mA,b'OK Read',11:05:55
1,1,64,100,0.1081554953127416,0.11563958692511471,0.18518344200923934,0.1808283408687794,0.14011457464275986,0.11333074393936646,White LED,12.5 mA,b'OK Read',11:05:56
1,1,64,100,0.10821005773235334,0.11594399552308254,0.18535412975263055,0.18118825274688283,0.14029897717913586,0.11384843288345882,White LED,25 mA,b'OK Read',11:05:57
1,1,64,100,0.10980156443359712,0.11759121340126881,0.18701644729623057,0.1828860144669261,0.1417322781700142,0.1159243199931538,White LED,50 mA,b'OK Read',11:05:58
1,1,64,100,0.11611859703721844,0.1243795375956333,0.19860587454016693,0.19423843159493626,0.1504194671925575,0.1233757090110505,White LED,100 mA,b'OK Read',11:05:59
1,1,64,150,0.10808283540559734,0.11552122565805663,0.18508494310818707,0.18073943518875749,0.13998305232311736,0.1134060286984547,White LED,12.5 mA,b'OK Read',11:06:00
1,1,64,150,0.10832510093038875,0.11588313013042939,0.18540264284939012,0.18118955718746463,0.14043598351138206,0.11421789210625213,White LED,25 mA,b'OK Read',11:06:01
1,1,64,150,0.11001980589447384,0.11741970608440686,0.18636800994180613,0.18215830148798484,0.14125647985496564,0.11563088824362423,White LED,50 mA,b'OK Read',11:06:03
1,1,64,150,0.11680523062280196,0.12453214452241919,0.198758589641073,0.19422340479344571,0.1505271010285792,0.12331818287549455,White LED,100 mA,b'OK Read',11:06:04
1,1,64,200,0.10804531508101686,0.11556962948654247,0.18522981566966767,0.1808398789225099,0.14015698709418,0.11336386497761594,White LED,12.5 mA,b'OK Read',11:06:05
