,Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,0.1714474809537247,0.1392649688854377,0.5844347507441783,0.6316310010372073,0.2474929794643844,0.1992234610536741,White LED,12.5 mA,b'OK Read',9:07:24,,,,,,
1,1,1,64,50,0.1738688632511701,0.1470184241670846,0.6182537316539714,0.6762289689853824,0.2519089366195428,0.2000242513881981,White LED,25 mA,b'OK Read',9:07:26,41.448511,33.48518073,7.963330268,2.190958039333333,1.7698893476666668,0.4210686916666666
2,1,1,64,50,0.1894823633263024,0.1725177740514019,0.7855249442099768,0.8854251835025261,0.2904345773070325,0.2366324529361143,White LED,50 mA,b'OK Read',9:07:27,50.44354216,39.75479317333333,10.68874899,3.4719724366666664,2.7344053266666664,0.7375671103333333
3,1,1,64,50,0.1938922590397653,0.181614165454124,0.8436557304578094,0.9647004249900852,0.308503892820838,0.2458332050048813,White LED,100 mA,b'OK Read',9:07:28,45.294102943333336,35.05946570333333,10.234637242,3.4176825796666663,2.6439767753333334,0.7737058043333334
4,1,1,64,100,0.1731336406497072,0.1516110741930663,0.6381070225623543,0.7054439888666088,0.2652575858912981,0.2063042768482987,White LED,12.5 mA,b'OK Read',9:07:29,34.36069416,27.637334653333337,6.723359505666667,2.0675995613333336,1.6628857716666667,0.40471379
5,1,1,64,100,0.1739899299456039,0.149013804033278,0.62566912570052,0.6800478172863508,0.259603172728561,0.2039053822333009,White LED,25 mA,b'OK Read',9:07:30,53.19928949333333,41.12431523,12.074974258,2.506892937,1.936170602,0.570722335
6,1,1,64,100,0.1887711307755653,0.1643670170689307,0.6975216384165117,0.7542929712590403,0.2841018036992582,0.2216089007736591,White LED,50 mA,b'OK Read',9:07:31,17.414988250000004,15.01071263,2.4042756203333333,1.0476035393333334,0.9036281766666666,0.1439753626666666
7,1,1,64,100,0.1943967367356288,0.1710715600809055,0.7403024066946919,0.802334279426301,0.2933810357049545,0.230833004512154,White LED,100 mA,b'OK Read',9:07:32,23.053871243333333,19.266168366666665,3.787702876,1.6127984626666667,1.347199933,0.2655985296666667
8,1,1,64,150,0.1730259675765964,0.1445821957469087,0.5999486167735777,0.6421127348495924,0.2530080979795593,0.2006054856727979,White LED,12.5 mA,b'OK Read',9:07:33,50.93254737666666,39.34508814666667,11.587459226666668,3.589816513,2.774094054666666,0.8157224586666668
9,1,1,64,150,0.1738459544974385,0.1471253616864341,0.618871888024606,0.663455277954584,0.2551531588805957,0.2007403343178279,White LED,25 mA,b'OK Read',9:07:34,26.65527811333333,20.265831976666664,6.389446134333333,1.6657432206666665,1.2663712403333334,0.3993719806666667
