,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,0.1207500960605827,0.1452645421592827,0.2315040156445667,0.2263144769093252,0.186956524622836,0.1418737847020007,White LED,12.5 mA,b'OK Read',9:50:48,,,,,,
1,1,1,64,50,0.1205479398832814,0.1456506937189375,0.2313354448287422,0.2263202485082637,0.1870201595635242,0.1418453766678402,White LED,25 mA,b'OK Read',9:50:50,46.05352228,36.794418113333336,9.259104163333332,2.160390279,1.726104994666667,0.4342852843333333
2,1,1,64,50,0.09308280341616,0.1128767239967633,0.1783530803291798,0.1743039645512954,0.1444561842509356,0.1098655924135975,White LED,50 mA,b'OK Read',9:50:51,45.52574725,37.18404030333333,8.341706947,2.399658327,1.9600306626666668,0.4396276646666666
3,1,1,64,50,0.0908034967909493,0.1103063669381049,0.174335756684525,0.1704288697581941,0.1412661385994091,0.1075288821085274,White LED,100 mA,b'OK Read',9:50:52,36.24924508333333,29.82712189,6.422123191333333,1.8863219706666663,1.5521390843333336,0.3341828866666667
4,1,1,64,100,0.1207765572007906,0.1454354569952903,0.231620561183791,0.2263913663094314,0.1871692825837136,0.142335782783837,White LED,12.5 mA,b'OK Read',9:50:54,30.190986613333333,24.769169946666665,5.421816667000001,1.8421252176666665,1.5112985506666667,0.3308266666666666
5,1,1,64,100,0.1205576715118282,0.1455726165777926,0.2315005899938647,0.2263569892208529,0.1870951929815467,0.1422858824017645,White LED,25 mA,b'OK Read',9:50:55,25.644963176666664,20.761035266666667,4.883927912000001,1.144538363,0.9266257466666667,0.217912616
6,1,1,64,100,0.0927720966556936,0.1125896727276686,0.1780755289094442,0.1742478851480554,0.1442808173056434,0.1100244533640738,White LED,50 mA,b'OK Read',9:50:56,30.719148333333333,24.96217962333333,5.756968711333333,1.440644516,1.1706018966666667,0.2700426193333333
7,1,1,64,100,0.0904288249637417,0.110000966811668,0.1730544993330496,0.1693288805640478,0.140398523416676,0.1071212239077462,White LED,100 mA,b'OK Read',9:50:58,46.64230506333333,37.59772700333334,9.044578057666667,2.4315294890000003,1.960062737,0.4714667516666666
8,1,1,64,150,0.1207022376320612,0.1454322154158866,0.2317180604498826,0.2265819637051971,0.1871696950875103,0.1426555534896839,White LED,12.5 mA,b'OK Read',9:50:59,47.22782611333333,38.50042363333333,8.727402482,2.2787696263333337,1.8578123843333327,0.4209572423333333
9,1,1,64,150,0.1206075285731431,0.1456442230125461,0.2315367336634858,0.2262511870545867,0.1871781025489715,0.1425085606731595,White LED,25 mA,b'OK Read',9:51:00,11.645574656666668,9.908003429333334,1.7375712276666668,0.710390222,0.6041745183333332,0.1062157036666666
10,1,1,64,150,0.0915894371604335,0.1107976555695837,0.1711274683888548,0.1673603261616198,0.1388052692433556,0.1059949944116104,White LED,50 mA,b'OK Read',9:51:01,57.242156515000005,45.11743887,12.124717645,2.6570639135,2.096794187,0.5602697265000001
11,1,1,64,150,0.0869826199223991,0.1054177075144722,0.1654304858709531,0.1619017116933897,0.1343445607798756,0.1026357604702776,White LED,100 mA,b'OK Read',9:51:03,19.08562244,16.14682197,2.938800468666667,1.0873197866666666,0.9199070826666668,0.1674127036666667
12,1,1,64,200,0.1207565514505086,0.1456150707409851,0.2320217585010325,0.2268695763956593,0.1874314734523866,0.142836501931493,White LED,12.5 mA,b'OK Read',9:51:04,28.69756745333333,24.11220359666667,4.58536386,1.601791885,1.3458531033333336,0.255938782
13,1,1,64,200,0.120633502671852,0.1457831882134073,0.2317032081554974,0.2264729800306967,0.1873489495883361,0.1426874170063513,White LED,25 mA,b'OK Read',9:51:05,7.806609920666666,6.9093458456666665,0.8972640743333332,0.390269422,0.3452753633333333,0.0449940586666666
14,1,1,64,200,0.0890948279456479,0.1077118299447804,0.169894395972607,0.1661804408693608,0.1378680512407211,0.1052953316273296,White LED,50 mA,b'OK Read',9:51:07,53.01166049666667,43.22043023333333,9.791230262333334,2.555521450666667,2.083746405,0.4717750453333333
15,1,1,64,200,0.0865824597335178,0.1048357340165334,0.1652474984722522,0.1615718338977861,0.1340007103690422,0.1024106191286819,White LED,100 mA,b'OK Read',9:51:08,8.678608537,7.602073361666666,1.0765351753333334,0.4609417656666667,0.4037522713333333,0.0571894946666666
16,1,1,64,250,0.120666391456901,0.1456866332896459,0.2321340981222112,0.2267559272031322,0.1876185076271184,0.1428020773659166,White LED,12.5 mA,b'OK Read',9:51:09,32.22016929666666,26.549036806666663,5.671132489333334,1.811610164,1.4933782023333333,0.3182319616666667
17,1,1,64,250,0.1206182722556832,0.1458033724984093,0.2317521152308298,0.2266072540650642,0.187425758261659,0.1427070717306049,White LED,25 mA,b'OK Read',9:51:10,33.00017684,27.35209026,5.648086580999999,1.7943211535,1.4872173075,0.307103846
18,1,1,64,250,0.0890345692258317,0.1075548048461389,0.1696358349914297,0.1660571340116455,0.1377959544149285,0.1051943598844086,White LED,50 mA,b'OK Read',9:51:12,32.72204224,27.06629569333333,5.655746543999999,1.7798156943333332,1.4722148710000005,0.3076008233333333
19,1,1,64,250,0.0866709140067488,0.1048581641464683,0.1652362851086615,0.1615898260091784,0.1340554406064452,0.1023686997615599,White LED,100 mA,b'OK Read',9:51:13,35.488711263333336,29.371669300000004,6.117041961999999,1.8953661876666663,1.568563876,0.3268023116666667
20,1,2,64,50,0.129512808746681,0.1504899116369857,0.2359992707567761,0.232480617300143,0.1918260861106347,0.1476099224490424,White LED,12.5 mA,b'OK Read',9:51:24,44.67426375333333,37.017221946666666,7.657041805333333,2.3851107020000004,1.976456,0.4086547023333333
21,1,2,64,50,0.1293510027338226,0.1509103292922505,0.2361150809225014,0.2326235082682241,0.1920192817746247,0.1479441403994771,White LED,25 mA,b'OK Read',9:51:25,26.69702357,22.37756557,4.319458002,1.3484264323333337,1.1301607240000002,0.218265708
22,1,2,64,50,0.0917785732947243,0.1076164471975474,0.1670461152922865,0.1648105841326731,0.1363854758353516,0.1055092027379094,White LED,50 mA,b'OK Read',9:51:27,35.037729203333335,29.509147783333333,5.528581421666666,1.91729791,1.614744644,0.302553266
23,1,2,64,50,0.0890296704258071,0.1045378783336476,0.1621040482463511,0.1599920036242994,0.1324238407019305,0.1024971890594641,White LED,100 mA,b'OK Read',9:51:28,25.48413069,21.685669596666667,3.798461091333333,1.3856505983333334,1.179116581,0.2065340173333333
24,1,2,64,100,0.1293658843525028,0.1508171210586676,0.236612829905992,0.2331756012332545,0.1923295629640745,0.1484825420983551,White LED,12.5 mA,b'OK Read',9:51:29,41.74339204333333,34.24368678,7.499705265333333,2.278297473333333,1.8691776666666664,0.409119807
25,1,2,64,100,0.1293581500476926,0.1511195342667605,0.236398554026788,0.2331579587389034,0.1922947746255819,0.14850655160191,White LED,25 mA,b'OK Read',9:51:30,50.350142655,42.437973635,7.9121690125,2.3148172025,1.9510067635,0.363810439
26,1,2,64,100,0.0916656606655866,0.1076611357820243,0.167315677758621,0.1650384523274837,0.1365150018394949,0.1057723083055454,White LED,50 mA,b'OK Read',9:51:32,40.363155785,33.932324165,6.430831624,2.157567273,1.8138343105,0.3437329624999999
27,1,2,64,100,0.0884963196592995,0.1042046926554294,0.1614219130620462,0.1590931769812862,0.1316196643271353,0.1021843418877905,White LED,100 mA,b'OK Read',9:51:33,47.84454505,39.72534012333333,8.119204923333333,2.430293183333333,2.017816669666667,0.4124765136666666
28,1,2,64,150,0.1294657180327767,0.151045989334482,0.2365638773415218,0.2333547781192003,0.1923672128061141,0.148813352600501,White LED,12.5 mA,b'OK Read',9:51:34,55.235288015,45.59085615,9.6444318695,2.5602008745,2.113173552,0.447027322
29,1,2,64,150,0.1293849783811187,0.1511087092358468,0.2363169702883009,0.2330233045763005,0.1923284332163439,0.1487734176753928,White LED,25 mA,b'OK Read',9:51:35,48.35992706333334,40.32876219,8.031164870666666,2.4143674086666667,2.013780246,0.4005871623333333
30,1,2,64,150,0.0913805468318839,0.1069753722779144,0.1663658579696467,0.1642545778979381,0.135953554654567,0.1055344325291271,White LED,50 mA,b'OK Read',9:51:36,39.6042206,33.015429956666665,6.588790644,2.1538251616666666,1.795326564,0.3584985976666666
31,1,2,64,150,0.0890185314463925,0.1044139381584905,0.1599181366011451,0.1578898323766203,0.1307515719900243,0.1015488439086087,White LED,100 mA,b'OK Read',9:51:37,26.379995753333333,22.14266110333333,4.237334653666666,1.3386871366666666,1.1242288953333333,0.214458241
32,1,2,64,200,0.1294790556405927,0.1512156570428967,0.2369845381817682,0.2335112952955195,0.1925185260700343,0.1490007262136664,White LED,12.5 mA,b'OK Read',9:51:39,33.70806787333333,28.632362673333333,5.075705202333333,1.8315628980000005,1.5562293150000002,0.2753335826666667
33,1,2,64,200,0.1293496678817097,0.1513106676370407,0.2364008744539588,0.233167407461198,0.1924750211191079,0.1489256411030571,White LED,25 mA,b'OK Read',9:51:40,36.59704636333333,29.851073226666667,6.745973136,1.8589291746666667,1.5163379423333332,0.3425912323333333
34,1,2,64,200,0.0909868745878211,0.1064702007202136,0.1654527960232775,0.1633373150852692,0.1352125866557003,0.1049764917917286,White LED,50 mA,b'OK Read',9:51:41,25.73783059333333,21.590192793333333,4.147637798333332,1.331848908,1.117227649,0.2146212583333333
35,1,2,64,200,0.0877408219501445,0.1028495418025239,0.1578864805159249,0.1559138697617728,0.1291059358965827,0.1002678343780841,White LED,100 mA,b'OK Read',9:51:42,41.28433818333333,34.24904702333333,7.035291158666666,2.2182941510000003,1.840236634,0.3780575163333333
36,1,2,64,250,0.1292854279412171,0.1512250308947044,0.2370521889415923,0.2335845170298946,0.192675043846799,0.1489673113343144,White LED,12.5 mA,b'OK Read',9:51:44,36.85378793333333,30.67110891,6.182679021999999,1.8612010536666668,1.5489011789999998,0.3122998743333333
37,1,2,64,250,0.1292582280339089,0.1512849116854714,0.2363424261953189,0.2333049793569661,0.1924475327238538,0.1488910482972893,White LED,25 mA,b'OK Read',9:51:45,30.49634293,25.59601047,4.900332461,1.55280195,1.3033415305,0.24946042
38,1,2,64,250,0.0888513961795576,0.1039613610799548,0.1593036786609544,0.1571966047610381,0.1301635889197036,0.101028255572323,White LED,50 mA,b'OK Read',9:51:46,42.75473501,35.669485116666664,7.0852498960000005,2.1166176203333333,1.7647122343333332,0.3519053853333334
39,1,2,64,250,0.0849270479083858,0.0995787301768992,0.1540950527524883,0.1520812557716896,0.1259711823755896,0.0977850211789068,White LED,100 mA,b'OK Read',9:51:48,46.85582199666667,39.51641162333333,7.339410373,2.5976500216666665,2.190758867,0.4068911546666667
40,1,3,64,50,0.1268839770351082,0.1465708845287084,0.2410563760530525,0.2316473759203928,0.1949565263915088,0.1395793796465528,White LED,12.5 mA,b'OK Read',9:52:08,32.21103173,26.72454630333333,5.486485424333334,1.774847235,1.4725717296666667,0.3022755053333333
41,1,3,64,50,0.1267460189616644,0.1469993182249152,0.2409903546183513,0.2318568868817225,0.1950544529846921,0.139681268763236,White LED,25 mA,b'OK Read',9:52:09,32.63164744666667,27.53546014333333,5.09618731,1.886746214333333,1.591694819,0.2950513956666666
42,1,3,64,50,0.0856922126723402,0.0998721514651835,0.1624414786016244,0.1564125911786242,0.1321099128845333,0.0949901657775873,White LED,50 mA,b'OK Read',9:52:11,29.735523016666665,25.15242586333333,4.583097152333333,1.705304081333333,1.4423023186666668,0.263001763
43,1,3,64,50,0.0828634723828034,0.0967824655257247,0.157175507644248,0.1513545910800867,0.1278763775449165,0.0918747598274343,White LED,100 mA,b'OK Read',9:52:12,28.88168007,23.53890893,5.342771136333334,1.7012512963333333,1.386539815,0.3147114813333334
44,1,3,64,100,0.1269117823521721,0.1470105781845715,0.2416992301292683,0.2322542758130539,0.195565676024526,0.1402228473616774,White LED,12.5 mA,b'OK Read',9:52:13,28.14873971333333,23.59112023,4.557619485333333,1.493273769,1.2514522766666667,0.2418214923333333
