Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
1,1,64,50,3024.366,2338.548,5668.084,5312.3730000000005,3742.822,1091.214,White LED,12.5 mA,b'OK Read',10:04:35
1,1,64,50,6031.1140000000005,4652.736,11196.614,10534.381,7362.927,2205.353,White LED,25 mA,b'OK Read',10:04:36
1,1,64,50,9343.235,7167.894,17363.877,16298.567,11379.498,3470.7940000000003,White LED,50 mA,b'OK Read',10:04:37
1,1,64,50,8626.784,6607.616999999999,15431.574,14505.583,10152.344,3104.0,White LED,100 mA,b'OK Read',10:04:38
1,1,64,100,3103.646,2390.313,5689.555,5359.932,3766.42,1139.356,White LED,12.5 mA,b'OK Read',10:04:39
1,1,64,100,5584.801,4287.338,10466.633,9847.15,6909.8240000000005,2072.39,White LED,25 mA,b'OK Read',10:04:40
1,1,64,100,6932.552,5310.453,12369.414,11628.245,8160.578,2446.062,White LED,50 mA,b'OK Read',10:04:41
1,1,64,100,7017.704000000001,5368.308000000001,13330.196000000002,12536.627,8800.114,2638.6290000000004,White LED,100 mA,b'OK Read',10:04:42
1,1,64,150,3088.9640000000004,2377.118,5677.03,5347.249,3760.127,1124.837,White LED,12.5 mA,b'OK Read',10:04:44
1,1,64,150,5541.735,4248.769,10330.657,9711.606,6821.72,2041.824,White LED,25 mA,b'OK Read',10:04:45
1,1,64,150,6600.752,5050.615,11602.755,10908.515,7661.85,2297.052,White LED,50 mA,b'OK Read',10:04:46
1,1,64,150,8738.363000000001,6662.426,16961.314,15964.067,11173.399,3365.341,White LED,100 mA,b'OK Read',10:04:47
1,1,64,200,3096.305,2381.178,5571.47,5251.734,3694.443,1108.408,White LED,12.5 mA,b'OK Read',10:04:48
1,1,64,200,5878.428000000001,4502.01,10807.469,10168.175,7130.476,2140.0170000000003,White LED,25 mA,b'OK Read',10:04:49
1,1,64,200,8085.041,6163.049,13732.76,12918.291,9063.244,2728.035,White LED,50 mA,b'OK Read',10:04:50
1,1,64,200,8532.823,6488.861999999999,16099.829,15133.364,10607.806,3197.991,White LED,100 mA,b'OK Read',10:04:52
1,1,64,250,3100.7090000000003,2383.614,5672.378000000001,5342.81,3756.037,1128.811,White LED,12.5 mA,b'OK Read',10:04:53
1,1,64,250,5974.738,4569.913,10887.446000000002,10244.271,7187.35,2154.919,White LED,25 mA,b'OK Read',10:04:55
1,1,64,250,7805.800999999999,5943.81,14484.747,13619.077,9552.926,2867.417,White LED,50 mA,b'OK Read',10:04:56
1,1,64,250,8993.231,6824.419,16185.173,15227.532,10670.58,3207.619,White LED,100 mA,b'OK Read',10:04:58
1,2,64,50,3306.2490000000003,2496.887,5673.451999999999,5421.758000000001,3912.735,1196.668,White LED,12.5 mA,b'OK Read',10:05:07
1,2,64,50,6448.066,4853.706,11137.572,10624.745,7636.677,2342.901,White LED,25 mA,b'OK Read',10:05:08
1,2,64,50,8744.235,6558.897,15039.747,14315.344,10289.219,3195.698,White LED,50 mA,b'OK Read',10:05:09
1,2,64,50,9531.157,7143.534000000001,16843.229,16046.503,11516.373,3585.418,White LED,100 mA,b'OK Read',10:05:11
1,2,64,100,3306.2490000000003,2490.798,5662.717,5407.491,3903.295,1203.545,White LED,12.5 mA,b'OK Read',10:05:12
1,2,64,100,6448.066,4841.526,11097.316,10581.941,7610.718000000001,2338.3160000000003,White LED,25 mA,b'OK Read',10:05:13
1,2,64,100,9146.505,6839.036,15713.369,14978.797,10763.561000000002,3303.445,White LED,50 mA,b'OK Read',10:05:14
1,2,64,100,9733.76,7265.333,15957.59,15214.215,10945.275,3363.048,White LED,100 mA,b'OK Read',10:05:15
1,2,64,150,3296.461,2482.677,5643.036,5393.223000000001,3890.709,1192.083,White LED,12.5 mA,b'OK Read',10:05:16
1,2,64,150,6436.321,4829.346,11053.481000000002,10543.893,7586.331999999999,2326.09,White LED,25 mA,b'OK Read',10:05:17
1,2,64,150,8133.49,6081.849,13713.973,13069.291,9406.611,2890.036,White LED,50 mA,b'OK Read',10:05:19
1,2,64,150,8415.372,6288.908,13824.902,13172.336,9485.275,2919.074,White LED,100 mA,b'OK Read',10:05:20
1,2,64,200,3291.567,2483.185,5642.589,5387.278,3889.136,1193.229,White LED,12.5 mA,b'OK Read',10:05:21
1,2,64,200,6374.659000000001,4785.193,10859.803999999998,10366.735,7464.403,2290.174,White LED,25 mA,b'OK Read',10:05:22
1,2,64,200,5721.337,4290.383,11491.827,10951.714,7890.366999999999,2420.845,White LED,50 mA,b'OK Read',10:05:23
1,2,64,200,8891.049,6636.544,15922.701,15170.223,10908.696000000002,3356.171,White LED,100 mA,b'OK Read',10:05:24
1,2,64,250,3293.329,2481.053,5645.541,5391.321,3889.136,1193.917,White LED,12.5 mA,b'OK Read',10:05:25
1,2,64,250,6426.925,4822.038,11045.25,10535.333,7577.206999999999,2322.7270000000003,White LED,25 mA,b'OK Read',10:05:27
1,2,64,250,8384.835,6265.36,14421.411,13742.731000000002,9885.202,3033.3920000000003,White LED,50 mA,b'OK Read',10:05:29
1,2,64,250,9242.228,6887.755,15610.85,14877.495,10698.899,3286.48,White LED,100 mA,b'OK Read',10:05:30
1,3,64,50,3094.837,2399.448,5507.06,5260.057,3728.662,1137.063,White LED,12.5 mA,b'OK Read',10:05:53
1,3,64,50,5948.898,4622.287,10429.061,9958.914,7041.979,2145.749,White LED,25 mA,b'OK Read',10:05:54
1,3,64,50,7769.391,6022.98,13773.017,13135.874,9274.456,2851.828,White LED,50 mA,b'OK Read',10:05:55
1,3,64,50,8497.588,6571.076999999999,15136.362,14448.511,10204.262,3140.68,White LED,100 mA,b'OK Read',10:05:56
1,3,64,100,3156.4990000000003,2454.258,5493.641,5257.679,3726.302,1141.649,White LED,12.5 mA,b'OK Read',10:05:57
1,3,64,100,6010.56,4658.827,10506.89,10032.631,7096.257,2166.381,White LED,25 mA,b'OK Read',10:05:58
1,3,64,100,7813.435,6035.159000000001,13799.853,13173.922,9307.495,2844.951,White LED,50 mA,b'OK Read',10:06:00
1,3,64,100,8268.558,6373.153,14336.604,13699.452,9685.081,2964.159,White LED,100 mA,b'OK Read',10:06:01
1,3,64,150,3149.647,2450.198,5480.222,5239.448,3717.649,1135.535,White LED,12.5 mA,b'OK Read',10:06:02
1,3,64,150,5939.111,4599.957,10348.548,9901.843,7001.0740000000005,2139.635,White LED,25 mA,b'OK Read',10:06:03
1,3,64,150,7685.217,5933.66,13619.148,13018.562,9192.646,2818.205,White LED,50 mA,b'OK Read',10:06:04
1,3,64,150,8730.532,6721.295999999999,14139.795,13516.348999999998,9554.499,2935.886,White LED,100 mA,b'OK Read',10:06:05
1,3,64,200,3149.158,2449.69,5474.855,5239.844,3715.682,1138.21,White LED,12.5 mA,b'OK Read',10:06:06
1,3,64,200,4868.348,3775.781,7906.334,7560.736999999999,5361.721,1640.26,White LED,25 mA,b'OK Read',10:06:07
1,3,64,200,7458.145,5759.589,13224.19,12630.557,8932.269,2736.059,White LED,50 mA,b'OK Read',10:06:09
1,3,64,200,8339.029,6420.35,14430.536,13793.381,9744.079,2989.377,White LED,100 mA,b'OK Read',10:06:10
1,3,64,250,3148.864,2449.386,5474.855,5239.130999999999,3715.446,1139.814,White LED,12.5 mA,b'OK Read',10:06:11
1,3,64,250,6012.321999999999,4655.1720000000005,10433.354,9970.328,7056.139,2158.587,White LED,25 mA,b'OK Read',10:06:13
1,3,64,250,7419.385999999999,5720.917,13303.897,12711.646,8988.435,2752.7940000000003,White LED,50 mA,b'OK Read',10:06:14
1,3,64,250,7962.010999999999,6124.073,12590.018999999998,12029.646,8514.565,2609.744,White LED,100 mA,b'OK Read',10:06:16
2,1,64,50,2965.64,2308.099,4820.019,4641.786,3558.748,1118.723,White LED,12.5 mA,b'OK Read',10:21:03
2,1,64,50,5790.339,4482.217000000001,9468.278,9098.092,6938.142,2187.013,White LED,25 mA,b'OK Read',10:21:04
2,1,64,50,10787.885,8300.628,17744.968999999997,17021.468999999997,12937.041,4131.025,White LED,50 mA,b'OK Read',10:21:06
2,1,64,50,12402.837,9512.532,20342.842,19513.574,14829.69,4745.406,White LED,100 mA,b'OK Read',10:21:07
2,1,64,100,2971.513,2295.919,4801.233,4622.762,3544.588,1125.601,White LED,12.5 mA,b'OK Read',10:21:08
2,1,64,100,5796.212,4470.038,9419.97,9050.532,6914.543000000001,2184.72,White LED,25 mA,b'OK Read',10:21:10
2,1,64,100,10840.737,8300.628,17680.558999999997,16978.664,12920.521,4082.883,White LED,50 mA,b'OK Read',10:21:11
2,1,64,100,12449.817,9491.217,20248.91,19446.992,14796.652,4685.802,White LED,100 mA,b'OK Read',10:21:12
2,1,64,150,2965.64,2287.799,4784.235,4603.7390000000005,3532.002,1114.139,White LED,12.5 mA,b'OK Read',10:21:13
2,1,64,150,5792.297,4457.858,9391.344,9023.582,6897.238,2177.843,White LED,25 mA,b'OK Read',10:21:15
2,1,64,150,10854.44,8290.478000000001,17646.566000000003,16950.128,12904.001,4097.402,White LED,50 mA,b'OK Read',10:21:16
2,1,64,150,12492.882,9496.292,20256.961,19456.504,14802.944,4714.84,White LED,100 mA,b'OK Read',10:21:17
2,1,64,200,2965.641,2285.261,4778.420999999999,4598.983,3526.889,1117.578,White LED,12.5 mA,b'OK Read',10:21:18
2,1,64,200,5790.339,4451.768,9368.979,9007.729,6883.865,2178.99,White LED,25 mA,b'OK Read',10:21:20
