Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,3,64,100,10881.081,2467.08,2031.929,1437.829,832.4860000000001,424.07,White LED,50 mA,b'OK Read',9:08:39
1,3,64,100,12856.527,2870.353,2447.74,1711.253,978.628,497.29,White LED,100 mA,b'OK Read',9:08:40
1,3,64,150,3002.008,637.856,539.63,366.136,222.692,111.865,White LED,12.5 mA,b'OK Read',9:08:41
1,3,64,150,5824.755,1254.626,1060.78,724.414,433.206,217.628,White LED,25 mA,b'OK Read',9:08:42
1,3,64,150,10848.815,2410.85,2067.966,1440.9720000000002,824.658,418.985,White LED,50 mA,b'OK Read',9:08:43
1,3,64,150,12856.528,2913.403,2539.218,1792.965,995.156,506.442,White LED,100 mA,b'OK Read',9:08:45
1,3,64,200,2995.435,651.035,548.87,375.957,225.737,112.882,White LED,12.5 mA,b'OK Read',9:08:46
1,3,64,200,5815.195,1254.626,1067.248,728.3430000000001,435.816,218.136,White LED,25 mA,b'OK Read',9:08:47
1,3,64,200,10804.0,2377.464,2073.51,1439.0079999999998,824.658,416.442,White LED,50 mA,b'OK Read',9:08:48
1,3,64,200,12852.942,2837.406,2558.623,1774.894,990.372,500.341,White LED,100 mA,b'OK Read',9:08:49
1,3,64,250,2994.3590000000004,636.802,552.197,374.307,224.432,112.272,White LED,12.5 mA,b'OK Read',9:08:51
1,3,64,250,5802.2880000000005,1229.323,1063.367,716.558,433.206,216.001,White LED,25 mA,b'OK Read',9:08:52
1,3,64,250,10795.754,2316.314,2053.551,1401.059,814.2189999999999,408.815,White LED,50 mA,b'OK Read',9:08:54
1,3,64,250,12850.791,2770.7209999999995,2538.11,1731.995,979.15,490.578,White LED,100 mA,b'OK Read',9:08:56
2,1,64,50,2459.447,564.055,493.429,339.422,208.774,103.729,White LED,12.5 mA,b'OK Read',9:17:59
2,1,64,50,4481.5,927.791,970.225,674.13,365.354,195.255,White LED,25 mA,b'OK Read',9:18:00
2,1,64,50,7858.758000000001,1739.608,1873.921,1338.831,662.857,353.899,White LED,50 mA,b'OK Read',9:18:01
2,1,64,50,7500.239,1987.37,1818.48,1301.118,767.245,341.696,White LED,100 mA,b'OK Read',9:18:02
2,1,64,100,2280.187,469.167,507.289,351.207,195.726,100.678,White LED,12.5 mA,b'OK Read',9:18:04
2,1,64,100,4277.144,898.797,964.681,662.3439999999999,362.745,189.153,White LED,25 mA,b'OK Read',9:18:05
2,1,64,100,5782.928000000001,1130.745,1341.683,921.625,448.864,256.272,White LED,50 mA,b'OK Read',9:18:06
2,1,64,100,5901.2390000000005,1420.68,1394.352,959.339,555.861,262.374,White LED,100 mA,b'OK Read',9:18:07
2,1,64,150,2263.456,462.138,495.277,336.279,189.636,99.661,White LED,12.5 mA,b'OK Read',9:18:08
2,1,64,150,4278.339,866.289,962.833,658.416,349.69699999999995,187.11900000000003,White LED,25 mA,b'OK Read',9:18:10
2,1,64,150,5124.446,1172.039,1180.903,810.841,468.002,225.764,White LED,50 mA,b'OK Read',9:18:11
2,1,64,150,6178.495,1319.642,1456.2620000000002,1004.123,528.894,274.577,White LED,100 mA,b'OK Read',9:18:12
2,1,64,200,2242.543,449.399,483.727,328.815,187.897,99.153,White LED,12.5 mA,b'OK Read',9:18:13
2,1,64,200,3621.052,832.903,784.497,532.7040000000001,344.477,157.119,White LED,25 mA,b'OK Read',9:18:14
2,1,64,200,5544.512,1047.718,1243.274,848.555,430.596,242.543,White LED,50 mA,b'OK Read',9:18:15
