Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
1,1,64,50,3541.151,2825.746,5501.691999999999,5431.27,4370.558,1384.65,White LED,12.5 mA,b'OK Read',9:05:14
1,1,64,50,7170.39,5901.181,10579.351,10639.013,8476.806,2764.715,White LED,25 mA,b'OK Read',9:05:15
1,1,64,50,13348.318,10961.944,19736.314,19846.489,15745.337,5208.484,White LED,50 mA,b'OK Read',9:05:16
1,1,64,50,15415.458,12630.596,22736.748,22871.26,18128.847,6010.847,White LED,100 mA,b'OK Read',9:05:18
1,1,64,100,3679.156,3041.94,5354.085999999999,5407.491,4321.0,1432.792,White LED,12.5 mA,b'OK Read',9:05:19
1,1,64,100,7190.944,5934.675,10504.206,10600.964,8439.046999999999,2792.224,White LED,25 mA,b'OK Read',9:05:20
1,1,64,100,13398.235,10986.305,19559.186,19737.103,15650.94,5144.295,White LED,50 mA,b'OK Read',9:05:21
1,1,64,100,15474.183,12624.507,22554.253,22771.387,18060.41,5923.733,White LED,100 mA,b'OK Read',9:05:22
1,1,64,150,3668.39,3034.835,5315.618,5380.54,4299.761,1407.575,White LED,12.5 mA,b'OK Read',9:05:23
1,1,64,150,7168.433000000001,5907.27,10416.537,10534.381,8393.421999999999,2746.375,White LED,25 mA,b'OK Read',9:05:24
1,1,64,150,13381.596,10943.675,19426.787,19632.472,15589.582,5112.2,White LED,50 mA,b'OK Read',9:05:25
1,1,64,150,15517.249,12632.626,22538.151,22769.8,18062.77,5934.432,White LED,100 mA,b'OK Read',9:05:26
1,1,64,200,3668.879,3031.282,5301.752,5367.065,4293.861,1409.8670000000002,White LED,12.5 mA,b'OK Read',9:05:27
1,1,64,200,7167.454000000001,5902.703,10386.121,10514.169,8378.87,2744.083,White LED,25 mA,b'OK Read',9:05:28
1,1,64,200,13385.022,10931.495,19367.297,19583.724,15554.183,5086.983,White LED,50 mA,b'OK Read',9:05:29
1,1,64,200,15547.59,12632.119,22476.423,22738.093,18047.432,5897.371,White LED,100 mA,b'OK Read',9:05:31
1,1,64,250,3664.475,3026.715,5286.991999999999,5361.834,4290.321,1402.99,White LED,12.5 mA,b'OK Read',9:05:32
1,1,64,250,7163.343000000001,5890.218000000001,10353.916,10492.529,8371.082,2729.869,White LED,25 mA,b'OK Read',9:05:34
1,1,64,250,13375.332,10899.827,19265.047,19511.672,15515.008999999998,5052.596,White LED,50 mA,b'OK Read',9:05:36
1,1,64,250,15563.446000000002,12605.018999999998,22391.082,22684.828,18026.9,5867.797,White LED,100 mA,b'OK Read',9:05:38
1,2,64,50,3570.514,2923.185,5045.454000000001,5269.569,3974.093,1522.198,White LED,12.5 mA,b'OK Read',9:06:05
1,2,64,50,6982.468000000001,5675.852,9903.046,10320.365,7749.953,2989.377,White LED,25 mA,b'OK Read',9:06:06
1,2,64,50,13178.014,10657.447,18759.428,19518.33,14612.578,5676.148,White LED,50 mA,b'OK Read',9:06:07
1,2,64,50,15221.664,12265.198,21663.247000000003,22533.589,16863.935,6551.87,White LED,100 mA,b'OK Read',9:06:08
1,2,64,100,3576.386,2907.96,5023.984,5245.789000000001,3959.933,1540.537,White LED,12.5 mA,b'OK Read',9:06:09
1,2,64,100,6979.531999999999,5660.626,9857.422,10279.939,7726.354,3003.132,White LED,25 mA,b'OK Read',9:06:10
1,2,64,100,13178.014,10620.907,18601.086,19385.165,14520.542,5616.543000000001,White LED,50 mA,b'OK Read',9:06:11
1,2,64,100,15256.899,12228.658,21537.112,22447.984,16819.096999999998,6464.755999999999,White LED,100 mA,b'OK Read',9:06:12
1,2,64,150,3564.641,2890.705,4997.146,5217.253,3942.627,1508.443,White LED,12.5 mA,b'OK Read',9:06:13
1,2,64,150,6968.765,5625.102,9793.906,10214.149,7698.035,2935.886,White LED,25 mA,b'OK Read',9:06:14
1,2,64,150,13148.651000000002,10531.587,18466.004,19240.902,14455.251,5520.26,White LED,50 mA,b'OK Read',9:06:15
1,2,64,150,15294.092,12186.029,21504.012,22403.594,16818.31,6437.246,White LED,100 mA,b'OK Read',9:06:16
1,2,64,200,3561.705,2882.078,4985.07,5202.986,3938.694,1505.004,White LED,12.5 mA,b'OK Read',9:06:17
1,2,64,200,6957.51,5607.34,9768.858,10194.333,7689.775,2932.065,White LED,25 mA,b'OK Read',9:06:19
1,2,64,200,13148.651000000002,10508.242,18398.463,19186.605,14423.785,5496.189,White LED,50 mA,b'OK Read',9:06:20
1,2,64,200,15320.029,12175.371,21445.864,22367.131,16806.117,6392.543000000001,White LED,100 mA,b'OK Read',9:06:21
1,2,64,250,3561.118,2875.684,4977.8240000000005,5196.328,3942.942,1498.356,White LED,12.5 mA,b'OK Read',9:06:22
1,2,64,250,6955.455,5591.81,9742.021,10171.028,7683.876,2910.516,White LED,25 mA,b'OK Read',9:06:24
1,2,64,250,13139.256,10466.222,18316.072,19116.93,14392.635,5442.316,White LED,50 mA,b'OK Read',9:06:26
1,2,64,250,15328.544,12133.655,21377.697,22315.768,16794.082,6340.962,White LED,100 mA,b'OK Read',9:06:28
1,3,64,50,4187.1320000000005,2594.327,5775.434,5431.27,4729.265,1467.178,White LED,12.5 mA,b'OK Read',9:06:42
1,3,64,50,8115.871,5024.225,11346.904,10639.013,9227.259,2879.338,White LED,25 mA,b'OK Read',9:06:43
1,3,64,50,15086.594,9311.563,21180.174,19851.245,17128.246,5401.052,White LED,50 mA,b'OK Read',9:06:45
1,3,64,50,17400.381999999998,10712.256,24416.778,22885.528,19728.869,6235.509,White LED,100 mA,b'OK Read',9:06:46
1,3,64,100,4146.024,2573.012,5743.229,5395.601,4698.585999999999,1487.811,White LED,12.5 mA,b'OK Read',9:06:47
1,3,64,100,8089.445,5009.0,11255.657,10574.807,9158.821,2893.093,White LED,25 mA,b'OK Read',9:06:48
1,3,64,100,15071.913,9275.023,20986.941000000003,19706.19,16998.45,5339.155,White LED,50 mA,b'OK Read',9:06:49
1,3,64,100,17426.808,10657.446000000002,24269.17,22783.276,19650.991,6150.688,White LED,100 mA,b'OK Read',9:06:50
1,3,64,150,4138.194,2555.757,5712.814,5371.029,4672.627,1458.009,White LED,12.5 mA,b'OK Read',9:06:51
1,3,64,150,8066.934,4971.445,11191.247,10510.602,9113.982,2842.659,White LED,25 mA,b'OK Read',9:06:52
1,3,64,150,15051.359,9206.003,20877.803,19599.181,16925.293,5289.485,White LED,50 mA,b'OK Read',9:06:53
1,3,64,150,17468.895,10633.087,24234.282000000003,22753.947,19628.179,6149.924,White LED,100 mA,b'OK Read',9:06:54
1,3,64,200,4131.343,2548.652,5705.656999999999,5364.688,4670.267,1459.155,White LED,12.5 mA,b'OK Read',9:06:55
1,3,64,200,8065.955,4957.235,11172.46,10501.09,9101.003,2840.366,White LED,25 mA,b'OK Read',9:06:57
1,3,64,200,15058.7,9185.196,20817.866,19558.756,16886.354,5266.941999999999,White LED,50 mA,b'OK Read',9:06:58
1,3,64,200,17510.492,10620.907,24198.052000000003,22732.148,19609.694,6109.423000000001,White LED,100 mA,b'OK Read',9:06:59
1,3,64,250,4129.581,2539.5170000000003,5693.849,5358.029,4660.355,1453.424,White LED,12.5 mA,b'OK Read',9:07:00
1,3,64,250,8067.717,4947.491,11152.601,10487.773,9090.383,2825.236,White LED,25 mA,b'OK Read',9:07:02
1,3,64,250,15060.756,9149.57,20750.771,19505.014,16849.775,5229.575,White LED,50 mA,b'OK Read',9:07:04
1,3,64,250,17540.148,10586.803,24143.035,22694.34,19591.051,6075.954000000001,White LED,100 mA,b'OK Read',9:07:06
2,1,64,50,4615.829000000001,2752.666,4261.798,4465.817,4224.243,1737.689,White LED,12.5 mA,b'OK Read',9:16:10
2,1,64,50,7792.880999999999,5158.203,7745.309,7947.156999999999,7443.164000000001,3236.963,White LED,25 mA,b'OK Read',9:16:12
2,1,64,50,13606.71,8958.344000000001,13617.359,13930.114,13031.437,5666.977,White LED,50 mA,b'OK Read',9:16:13
2,1,64,50,15397.841,10109.349,15377.9,15713.587,14721.133999999998,6414.321999999999,White LED,100 mA,b'OK Read',9:16:14
2,1,64,100,3937.548,2624.776,3915.595,4002.114,3785.3,1650.576,White LED,12.5 mA,b'OK Read',9:16:15
2,1,64,100,7687.175,5091.214,7664.795999999999,7823.501999999999,7381.807,3223.208,White LED,25 mA,b'OK Read',9:16:16
2,1,64,100,13415.853,8815.231,13394.607,13649.516,12845.004,5611.9580000000005,White LED,50 mA,b'OK Read',9:16:17
2,1,64,100,15224.6,9969.28,15152.465,15430.61,14520.542,6345.547,White LED,100 mA,b'OK Read',9:16:19
2,1,64,150,3922.867,2612.597,3898.597,3977.541,3772.714,1649.0479999999998,White LED,12.5 mA,b'OK Read',9:16:20
2,1,64,150,7665.642,5072.944,7637.959,7782.284000000001,7361.354,3207.925,White LED,25 mA,b'OK Read',9:16:21
2,1,64,150,13037.073,8562.497,12871.275,13097.827,12358.075,5370.485,White LED,50 mA,b'OK Read',9:16:22
2,1,64,150,14105.877,9236.453,11078.529,11262.039,10666.805,4630.782999999999,White LED,100 mA,b'OK Read',9:16:23
2,1,64,200,3912.59,2604.984,3890.099,3965.255,3771.14,1637.967,White LED,12.5 mA,b'OK Read',9:16:24
2,1,64,200,7581.469,5018.135,7566.839,7703.415,7311.009,3163.6040000000003,White LED,25 mA,b'OK Read',9:16:26
2,1,64,200,10209.437,6721.804,10306.951,10486.823,9945.852,4294.936,White LED,50 mA,b'OK Read',9:16:27
2,1,64,200,11740.707,7709.901,11639.434,11842.262,11226.103,4838.251,White LED,100 mA,b'OK Read',9:16:28
