Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,2,64,150,3960.06,2770.936,5609.042,5397.979,4048.037,1396.876,White LED,12.5 mA,b'OK Read',11:06:35,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,150,7741.986,5403.833,11012.33,10591.453,7908.853,2735.677,White LED,25 mA,b'OK Read',11:06:36,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,150,14653.983,10154.009,20795.501,19985.998,14869.022,5161.106,White LED,50 mA,b'OK Read',11:06:37,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,150,17825.163,12291.588,25341.777,24356.696,18092.663,6290.529,White LED,100 mA,b'OK Read',11:06:38,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,200,3962.507,2773.981,5607.7,5397.979,4046.07,1398.405,White LED,12.5 mA,b'OK Read',11:06:39,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,200,7744.432,5401.803,11006.068,10580.752,7903.347,2730.328,White LED,25 mA,b'OK Read',11:06:40,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,200,14653.494,10141.321,20745.405,19930.907,14833.23,5135.125,White LED,50 mA,b'OK Read',11:06:41,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,200,17854.037,12284.99,25329.253,24330.142,18085.189,6259.58,White LED,100 mA,b'OK Read',11:06:42,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,250,3963.975,2770.936,5603.674,5392.272,4043.002,1393.82,White LED,12.5 mA,b'OK Read',11:06:44,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,250,7742.377,5398.149,10992.649,10570.526,7895.323,2718.865,White LED,25 mA,b'OK Read',11:06:45,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
