Leaf,Measurement Type,Integration Time,LED Current,Score
mango,raw,200,50 mA,0.883824160469691
mango,raw,200,50 mA,0.8949962519544754
mango,raw,200,50 mA,0.8911228442649991
mango,raw,200,50 mA,0.8979886917343007
mango,raw,200,50 mA,0.8257540047055194
mango,raw,200,50 mA,0.8607394573090875
mango,raw,200,50 mA,0.9191992424606638
mango,raw,200,50 mA,0.896494673280857
mango,raw,200,50 mA,0.9032372892774508
mango,raw,200,100 mA,0.7879587929369576
mango,raw,200,100 mA,0.8401066088483985
mango,raw,200,100 mA,0.9254737816826134
mango,raw,200,100 mA,0.8543395312734468
mango,raw,200,100 mA,0.852150627917495
mango,raw,200,100 mA,0.8531503313696714
mango,raw,200,100 mA,0.8485954496382667
mango,raw,200,100 mA,0.9029500019189644
mango,raw,200,100 mA,0.8485296896396258
mango,raw,200,100 mA,0.8976302219732848
mango,raw,250,12.5 mA,0.9065746311461687
mango,raw,250,12.5 mA,0.9365491799014078
mango,raw,250,12.5 mA,0.8858936106247985
mango,raw,250,12.5 mA,0.89631690059467
mango,raw,250,12.5 mA,0.8431068257321066
mango,raw,250,12.5 mA,0.8730195853220997
mango,raw,250,12.5 mA,0.9139493709689186
mango,raw,250,12.5 mA,0.8616817796667683
mango,raw,250,12.5 mA,0.8500388079806541
mango,raw,250,12.5 mA,0.8970236889888293
mango,raw,250,25 mA,0.9014908536601366
mango,raw,250,25 mA,0.9313508780909
mango,raw,250,25 mA,0.8752457103441978
mango,raw,250,25 mA,0.8503664383832051
mango,raw,250,25 mA,0.8430453595358118
mango,raw,250,25 mA,0.87808154245223
mango,raw,250,25 mA,0.8815946609250234
mango,raw,250,25 mA,0.8684597317428818
mango,raw,250,25 mA,0.8794123293520675
mango,raw,250,25 mA,0.9265523965367661
mango,raw,250,50 mA,0.8795519472163681
mango,raw,250,50 mA,0.8772543360727105
mango,raw,250,50 mA,0.884386047066796
mango,raw,250,50 mA,0.8427921626843595
mango,raw,250,50 mA,0.8479946570430347
mango,raw,250,50 mA,0.8670997284548877
mango,raw,250,50 mA,0.8417132715303733
mango,raw,250,50 mA,0.8626903696174475
mango,raw,250,50 mA,0.836151877017033
mango,raw,250,50 mA,0.8805686290860505
mango,raw,250,100 mA,0.8152860111896328
mango,raw,250,100 mA,0.909619128490765
mango,raw,250,100 mA,0.8644599630022869
mango,raw,250,100 mA,0.8814106058508038
mango,raw,250,100 mA,0.8626911134899401
mango,raw,250,100 mA,0.9144301813964313
