Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
rice,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8721458480486648
rice,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8688507668415588
rice,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8438511330462722
rice,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.847745599661745
rice,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.861385779515404
rice,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8729894669594773
rice,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8109325885301292
rice,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.9056864165030679
rice,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8993368454854732
rice,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8952865531317189
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8784374982358621
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.876096254744718
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8529044644102014
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9095976889443539
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8501716715995846
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8829365159668194
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7850471895298811
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8220850773629734
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8941625710538244
rice,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8938914815339067
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8154888667373071
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.900880507318084
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8869397617570883
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8857354932593536
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8419393090190541
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8781323943437237
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.810577137368483
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.87210377728446
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.882535379335611
rice,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8999598575340847
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.39788820007237424
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8256960623540581
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.9049335468259633
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8749950157777622
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.6205703443852064
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.794201757529642
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.6918668848921012
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-1.842232867494443
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8436028491163976
rice,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8745019112544979
rice,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8341646001937606
rice,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8439792055854541
rice,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8481495102884173
rice,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8968929969656512
rice,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9039357758818658
rice,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.8298811884565722
rice,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.8214769734588291
rice,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.888560610001035
rice,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.8785455953874315
rice,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.869611606663836
rice,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8444959682660962
rice,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.3534477174013554
rice,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.027182460132020525
