Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.751085299182461
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7915422514524886
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.6960290426647096
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.697385728685527
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8368904055002591
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8231316130175933
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8953145184137443
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.7703598326925498
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.6020257082702475
sugarcane,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.7463608021325192
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.5507395141432274
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7739131969118201
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7802649864110492
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8669469329236572
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7171751571962298
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5492784711846024
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8967947573320019
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.6925206836627635
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5737595562262009
sugarcane,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7970268200763035
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.7780573868417746
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.7012908044787916
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.819989272669932
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.6282847602545152
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.7227728796445895
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7885042813870371
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9019597033809331
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7689854303669693
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.602603113939524
sugarcane,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7550160160037656
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8121336353060553
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.7772041490572253
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.81776678835465
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.7594518821412726
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.7679681187271108
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.44945257727127974
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8680884603897787
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.6206926373852939
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.5468887865611796
sugarcane,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.7843888335078081
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8381559545149642
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7687910954793477
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.6213845945766383
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7644663155916039
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.5812313507962571
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.8102850973746031
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.9037610593043471
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.753527169756116
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.6149146690314546
sugarcane,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.7265624613804984
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.6824250398596672
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.727047059357919
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.7895053114842391
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.7031304804328525
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.6671265719730302
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8181956844832984
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8841471562095915
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.7838105463349021
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.6196587240098581
sugarcane,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.753061748262911
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.7361660476496132
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.812010098861607
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.7274692966389755
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.7594810104961593
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.7824611342082008
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.7983659503679296
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.8906444771892966
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.7735496336468171
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.6246044940237887
sugarcane,as7262,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.7565226246004102
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.8112668815558762
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.7466019540970169
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.7826720439547772
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.7566649789569864
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.6681927982505803
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.820244956640324
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.8844790657030575
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.7900933716555217
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.6273333714087463
sugarcane,as7262,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.7538302268861472
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.8432304086184521
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.5788748413283586
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.7738967050557248
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.7633945632283753
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.7752941098301374
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.8093157618071877
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.8880318595462462
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.7682378550492216
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.6172845892112124
sugarcane,as7262,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.7538045871019607
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.7544970749193763
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.6010445514333932
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.7618693092268798
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.7602688527299012
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.6202403165320984
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,K Fold,0.8093157618071884
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,K Fold,0.8880318595462461
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,K Fold,0.7682378550492224
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,K Fold,0.617284589211212
sugarcane,as7262,raw,50,12.5 mA,No Poly,PLS,K Fold,0.753804587101962
sugarcane,as7262,raw,50,25 mA,Poly,ARD,Shuffle,0.6055886233379841
sugarcane,as7262,raw,50,25 mA,Poly,ARD,Shuffle,0.5207642363671332
sugarcane,as7262,raw,50,25 mA,Poly,ARD,Shuffle,0.23121718422312998
sugarcane,as7262,raw,50,25 mA,Poly,ARD,Shuffle,0.5191989713848899
sugarcane,as7262,raw,50,25 mA,Poly,ARD,Shuffle,0.3879734107648033
sugarcane,as7262,raw,50,25 mA,Poly,ARD,K Fold,0.5020110681001422
sugarcane,as7262,raw,50,25 mA,Poly,ARD,K Fold,0.8668912314091097
sugarcane,as7262,raw,50,25 mA,Poly,ARD,K Fold,0.7891588287451845
sugarcane,as7262,raw,50,25 mA,Poly,ARD,K Fold,0.633327884398522
sugarcane,as7262,raw,50,25 mA,Poly,ARD,K Fold,0.7329397564311582
