Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.6992213253654949
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7967425603792584
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7191789201498455
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.5950529307579713
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7638820669523714
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.5729159321646795
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7085775937486618
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7786837107531317
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7755771778388829
jasmine,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7886567214080232
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.4565112272170052
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.6633853616571364
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7164694725559089
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7655047285557214
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.629446352095143
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.584331433378096
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.6759361889872009
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7531517404853508
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.767422230390235
jasmine,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7464109416387468
jasmine,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.716266421449885
