Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,40.006463733333334,31.762765950000002,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
2,39.666144790000004,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
3,68.76208295,53.951703565,14.810379385000001,3.169046667,2.4842313165,0.68481535
4,47.9094213,40.38661510666666,7.522806188666666,2.460385592,2.0767829386666667,0.383602653
5,68.21059002,50.84116542,17.369424596666665,3.4934260746666665,2.603808757,0.8896173176666666
6,81.34927259666667,60.72458560333333,20.624686989999997,3.3983087493333333,2.536473219,0.8618355299999999
7,36.44570198,29.23265505,7.213046929666667,2.1326807973333337,1.7105445086666666,0.42213628833333333
8,37.14803392333333,28.630221723333335,8.517812203,1.9974501403333333,1.5388266443333334,0.458623496
9,70.5166034,55.43343786666667,15.083165533333334,4.077508378666667,3.204930490666667,0.872577888
10,82.02300503666667,62.38617182666667,19.636833210000002,3.7612368519999997,2.8608636806666667,0.900373171
11,63.28068818666666,47.07241832,16.20826986333333,3.677654537,2.735591449333333,0.9420630876666666
12,77.04650994666666,56.32364402333334,20.722865923333334,3.251554375,2.3770016386666666,0.8745527363333334
13,3.3035533235,2.8669213175,0.43663200550000003,0.1974848575,0.1726591425,0.024825714
14,3.784876565,3.2668034240000003,0.5180731416666666,0.2717835206666667,0.23476665466666669,0.037016865333333336
15,32.35809420333334,26.419034370000002,5.939059834999999,1.844876867,1.506538345,0.3383385223333333
16,35.12187875666667,28.32920704333333,6.792671712666667,2.027313063,1.635158273,0.39215479033333334
17,74.38669213,56.85359930333333,17.53309283,4.018012512666666,3.0718724473333334,0.9461400656666665
18,79.28477832,61.65480810666667,17.62997021,3.866610407,3.007098903333333,0.8595115033333333
19,75.10414122333333,59.132278576666664,15.971862643333333,3.749304507666667,2.951768677,0.7975358303333332
20,71.63745726666667,56.20771498,15.429742283333333,4.064109695333333,3.1906342723333334,0.8734754226666667
21,76.66530224,58.69127977666667,17.974022463333334,4.39391526,3.363820968666667,1.030094291
22,85.19250194666667,64.85143948666666,20.34106246,4.295187474666666,3.2673434476666667,1.0278440269999998
